product_lpn,Aug shipped to date,Aug balance,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug+1,Total
90-07675A,150,3850,4400,5000,5000,3000,,,,,,,,13850
90-08373A,0,900,4500,4600,5000,5150,5350,5500,6000,6500,6500,7000,7500,7500,71500
90-06700A,0,300,400,500,500,500,500,500,500,600,600,600,700,800,7200
10-06103C,160,290,425,300,300,300,,,,,,,,1615
10-06105C,75,325,391,300,300,300,,,,,,,,1691
90-06801A,0,293,330,330,330,330,300,300,300,400,500,600,700,800,6783
90-07290A,0,250,100,100,650,665,275,275,275,,,,,,2590
90-06889C,0,800,800,800,788,770,550,550,550,,,,,,5108
90-06831D,10,758,760,760,750,750,,,,,,,,2778
90-004034,0,750,750,750,700,622,,,,,,,,2822
90-06789A,0,375,375,375,375,375,375,375,375,375,375,375,375,375,5250
