"serial_id","ship_date","shipment_number","ship_to_location","packing_slip_number","po_number","po_line_number","lunar_part_number","part_description","qty","ship_method","tracking_number","ima_item_id","source_file","source_file_timestamp","_db_created_at","_db_modified_at"
P:10-06103CR:03S:QTL261703685,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703688,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202065,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202068,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202074,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202082,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202085,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202106,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202130,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL262202131,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
