"serial_id","ship_date","shipment_number","ship_to_location","packing_slip_number","po_number","po_line_number","lunar_part_number","part_description","qty","ship_method","tracking_number","ima_item_id","source_file","source_file_timestamp","_db_created_at","_db_modified_at"
P:10-06103CR:03S:QTL261703556,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703561,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703616,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703617,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703620,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703629,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703632,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703657,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703659,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703660,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703670,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703671,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703672,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703673,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703674,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703677,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703681,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703682,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703683,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
P:10-06103CR:03S:QTL261703684,2026-08-06 17:00:00,52379,Receiving Stores - ATLN 475 Horizon Dr.,190274,PO-US-06924,1,10-06103C,"(10-06103C) PCBA, Terminal Board, Type C, Coated",1,FedEx Freight - COL,300418119528,814-4656@RevNEW,ASN_20260808.csv,2026-08-07 18:00:15,2026-08-07 18:00:26,2026-08-07 18:00:26
