Updated at,item_number,item_name,revision,procurement_type,unit_of_measure,category_name,lifecycle_phase,vendor,Product Alias,Parent Product LPN,Parent Product Name,CM,Product Usage per ESS,Flat Qty,Sourcing Flat Qty
08-04-2026,10-005009,RES 59K OHM 1% 1/10W 0603 AEC-Q,2,OTS,Each,Electrical Components,In Production,,PV Hub,90-004034,"Maximizer Hub, Boxed",Sienna,1,1,1
08-04-2026,10-005190,RES 402K OHM 1% 1/4W 1206 AEC-Q,3,OTS,Each,Electrical Components,In Production,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,60,60
08-04-2026,10-006999,SENSOR OPT SLOT PHOTOTRANS MODULE (5MM X 4MM) AEC-Q,1,OTS,Each,Electrical Components,In Design,,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,1,1
08-04-2026,10-004521,"Fan with Connector,DC-DC, with Splice",2,OTS,Each,Part,In Production,GS//Delta Electronics,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,1,1
08-04-2026,10-004521,"Fan with Connector,DC-DC, with Splice",2,OTS,Each,Part,In Production,GS//Delta Electronics,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-006981,TRANSFORMER PULSE 1CT:1CT TX 1CT:1CT RX 18.29mm x 14.70mm,1,OTS,Each,Electrical Components,In Design,,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,1,1
08-04-2026,10-06918A,"Label, N Terminal, Front, Inverter",4,MTS,Each,Part,In Production,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,0
08-04-2026,10-06997C,"Foam Seal Assy, 4MM, Enclosure",4,MTS,Each,Assembly,In Production,A//ACE Battery,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,1,1
08-04-2026,10-06997C,"Foam Seal Assy, 4MM, Enclosure",4,MTS,Each,Assembly,In Production,A//ACE Battery,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-006958,RES 7.32K OHM 1% 1/16W 0402,1,OTS,Each,Electrical Components,In Design,,11 KW Inverter,90-08096A,"Lunar 3 Inverter, Boxed",TBD,1,1,1
08-04-2026,10-006954,DIODE ZENER 20V 250MW SOT23-3 (2.9MM X 1.3MM),1,OTS,Each,Electrical Components,In Planning,,2.1 LFP Block,90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,4,1,1
08-04-2026,10-07747A,"Packaging, LFP BB + WB, Base Tray Assy",1,OTS,Each,Part,In Production,A//Veritiv Operating Company,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-006688,RES SMD 500 UOHM 1% 10W 2512,1,OTS,Each,Electrical Components,Sunset - Phase Out,,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,1,1
08-04-2026,10-006688,RES SMD 500 UOHM 1% 10W 2512,1,OTS,Each,Electrical Components,Sunset - Phase Out,,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-006688,RES SMD 500 UOHM 1% 10W 2512,1,OTS,Each,Electrical Components,Sunset - Phase Out,,2.1 LFP Block,90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,4,1,1
08-04-2026,10-002218,"Nut, M6, Hex Head, Steel, Serrated, Zn-Ni Plated",2,MTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,6,6
08-04-2026,10-002218,"Nut, M6, Hex Head, Steel, Serrated, Zn-Ni Plated",2,MTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,6,0
08-04-2026,10-002218,"Nut, M6, Hex Head, Steel, Serrated, Zn-Ni Plated",2,MTS,Each,Part,In Production,A//ACE Battery,2.1 LFP Block,90-08373A,"Battery Block with Wall Bracket, LFP, L2.1",Qualitel,4,2,2
08-04-2026,10-006452,DIODE TVS 14VWM SOT23-6,1,OTS,Each,Electrical Components,Sunset - EOL,,MSAC,90-06700A,"MSA Controller, Boxed",Qualitel,1,2,2
08-04-2026,10-001729,CAP CER 0.022UF 50V X7R 0603 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Terminal PCBA (TRM),10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,1,1,1
08-04-2026,10-001729,CAP CER 0.022UF 50V X7R 0603 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Bridge,90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,10-001729,CAP CER 0.022UF 50V X7R 0603 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,90-07290A,20kWh LFP ESS Hardware Kit,4,MTS,Each,Top Level Assembly,In Production,A//Sienna,LFP HW Kit,90-07290A,20kWh LFP ESS Hardware Kit,Sienna,1,1,1
08-04-2026,10-001658,CAP CER 1UF 100V X7S 0805 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Terminal PCBA (TRM),10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,1,1,1
08-04-2026,10-001658,CAP CER 1UF 100V X7S 0805 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,1,1
08-04-2026,10-07566A,PC cover B,1,OTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,1,0
08-04-2026,10-07566A,PC cover B,1,OTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-07571A,"Busbar, Cu, A",1,OTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,1,0
08-04-2026,10-07571A,"Busbar, Cu, A",1,OTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,1,0
08-04-2026,10-07580A,Pressure Strip,1,OTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT with cover,90-06948C,LFP Battery Block with ESS Cover and Wall Bracket,Qualitel,4,4,0
08-04-2026,10-07580A,Pressure Strip,1,OTS,Each,Part,In Production,A//ACE Battery,2.0 LFP - EVT without cover,90-07675A,LFP Battery Block with Wall Bracket,Qualitel,4,4,0
08-04-2026,10-000637,CAP CER 4.7PF 50V C0G/NPO 0402 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Terminal PCBA (TRM),10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,1,2,2
08-04-2026,10-000637,CAP CER 4.7PF 50V C0G/NPO 0402 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,PV Hub,90-004034,"Maximizer Hub, Boxed",Sienna,1,2,2
08-04-2026,10-000637,CAP CER 4.7PF 50V C0G/NPO 0402 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Bridge,90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Sienna,1,2,2
08-04-2026,10-000637,CAP CER 4.7PF 50V C0G/NPO 0402 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,9.6 KW Inverter,90-06889C,"Inverter 9.6kW with Cover and Brackets, Boxed, Lunar Blue",Sienna,1,2,2
08-04-2026,10-000564,CAP CER 1.2PF 50V C0G/NPO 0402 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Terminal PCBA (TRM),10-06103C,"PCBA, Terminal Board, Type C, Coated",Qualitel,1,1,1
08-04-2026,10-000564,CAP CER 1.2PF 50V C0G/NPO 0402 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,PV Hub,90-004034,"Maximizer Hub, Boxed",Sienna,1,1,1
08-04-2026,10-000564,CAP CER 1.2PF 50V C0G/NPO 0402 AEC-Q,1,OTS,Each,Electrical Components,Sunset - Phase Out,,Bridge,90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Sienna,1,1,1
