part_lpn,override_type,override_value,reason
10-003914,lunar_onorder_qty,31,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-002508,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006677,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001738,lunar_onorder_qty,2340000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006780,lunar_onorder_qty,718,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001676,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006925,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-07278A,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-000616,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-007010,lunar_onorder_qty,796,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-003362,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-003226,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-000340,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-002532,lunar_onorder_qty,68100,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006578,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001277,lunar_onorder_qty,20000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001323,lunar_onorder_qty,3000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006744,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-002009,lunar_onorder_qty,2000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001712,lunar_onorder_qty,136000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006197,lunar_onorder_qty,1630,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006948,lunar_onorder_qty,-200,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-000641,lunar_onorder_qty,6000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006804,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-000660,lunar_onorder_qty,30000,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-007006,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-004681,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-004534,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006875,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006826,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-001585,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006945,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-000605,lunar_onorder_qty,30100,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006671,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-003778,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-004177,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
10-006996,lunar_onorder_qty,0,PO line duplication (NetSuite/LunarDB) - validated 2026-08-04 snapshot
