cm,part,description,state,first_shortage_date,shortage_qty,opening,undated,products
Sienna,10-004561,RELAY GEN PURPOSE SPST 50A 12V,IN_PRODUCTION,2027-02-08,2826.1612903225796,5443.0,0.0,9.6 KW Inverter
Sienna,10-004593,"Screw Terminal, M3, SMT, Thru Hole, Integrated Junction, 50A",IN_PRODUCTION,2027-02-08,2747.1612903225796,12172.0,0.0,9.6 KW Inverter
Sienna,10-001595,ADDRESS LED DISC SERIAL RGB 1=10,IN_PRODUCTION,2027-02-08,2524.1612903225796,14145.0,5000.0,9.6 KW Inverter
Sienna,10-005199,"TIM, PCBA, Terminal Board, Inverter",IN_PRODUCTION,2027-02-08,833.3870967741932,4723.0,0.0,9.6 KW Inverter
Sienna,10-006421,IC VREF SERIES 0.13% TSOT5,IN_PRODUCTION,2027-02-08,1700.7741935483864,6412.0,0.0,9.6 KW Inverter
Sienna,10-003487,VARISTOR 699.5V 6.5KA DISC 20MM,IN_PRODUCTION,2027-02-08,1662.7741935483864,9450.0,0.0,9.6 KW Inverter
Qualitel,10-06535A,"PCBA Cover, MSA Controller",IN_PRODUCTION,2027-02-08,3302.451612903226,74.0,3000.0,MSAC
Sienna,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,IN_PRODUCTION,2027-02-08,1776.7741935483864,4799.0,0.0,9.6 KW Inverter
Qualitel,10-06536A,"Wiring Cover, MSA Controller",IN_PRODUCTION,2027-02-08,3306.451612903226,0.0,3000.0,MSAC
Qualitel,10-002911,CONN RCPT USB2.0 MICRO B SMD,IN_PRODUCTION,2027-02-08,3368.4516129032263,1838.0,0.0,MSAC
Sienna,10-000903,"Plug,Conduit,Sealing,Stepped,3/4""",IN_PRODUCTION,2027-02-08,3572.548387096773,13653.0,0.0,9.6 KW Inverter
Sienna,10-006364,ISOMOV 5KA 175VRMS -40 °C to +125 °C BULK CRIMPED,IN_PRODUCTION,2027-02-08,3635.548387096773,16613.0,0.0,9.6 KW Inverter
Qualitel,10-006484,"IC 16CH BATTERY MONITOR 64-WFQFN Exposed Pad, CSP",IN_PRODUCTION,2027-02-08,4758.064516129032,0.0,0.0,2.1 LFP Block
Sienna,10-001006,RES SMD 100 OHM 1% 1/3W 0603 AEC-Q,IN_PRODUCTION,2027-02-08,7291.096774193546,37160.0,0.0,9.6 KW Inverter
Sienna,10-003494,CAP CER 6800PF 50V X7R 0805,IN_PRODUCTION,2027-02-08,13151.419354838712,60638.0,0.0,9.6 KW Inverter
Sienna,10-002602,CAP CER 10UF 10V X7R 0603,IN_PRODUCTION,2027-02-08,14516.580645161288,79942.0,0.0,9.6 KW Inverter
