cm,part,description,state,first_shortage_date,shortage_qty,opening,undated,products
Qualitel,10-003524,CMC 1.5MH 18A 2LN TH,IN_PRODUCTION,2027-04-05,20442.67741935484,16767.0,0.0,2.1 LFP Block
Qualitel,10-005385,"Label, Packaging, Carton",IN_PRODUCTION,2027-04-05,23116.129032258068,20300.0,0.0,"2.1 LFP Block, MSAC"
Qualitel,10-002929,"TIM, INDUCTOR, DCDC",IN_PRODUCTION,2027-04-05,42935.35483870968,5484.0,0.0,2.1 LFP Block
Qualitel,10-06752A,"Thermal Bridge, GaN, DCDC",IN_PRODUCTION,2027-04-05,314989.1612903226,48156.0,0.0,2.1 LFP Block
Qualitel,10-002402,GAN TRANS 200V 8MOHM BUMPED DIE,IN_PRODUCTION,2027-04-05,329881.83870967745,165473.0,0.0,2.1 LFP Block
Qualitel,10-001069,RES 82K OHM 1% 1/16W 0402 AEC-Q,IN_PRODUCTION,2027-04-05,14533.67741935484,24451.0,0.0,"MSAC, Terminal PCBA (TRM)"
Qualitel,10-07251A,"Packaging, MSA Controller, Shipping Box",IN_PRODUCTION,2027-04-12,2285.4516129032263,921.0,0.0,MSAC
Sienna,10-003551,"ASSY, ENCLOSURE DOOR, BRIDGE, LUNAR BLUE",IN_PRODUCTION,2027-04-12,2055.9032258064517,664.0,528.0,Bridge
Sienna,10-002914,"TOP MOUNT HEATSINK .4"" D-PAK",IN_PRODUCTION,2027-04-12,2067.9032258064517,2652.0,1224.0,Bridge
Qualitel,10-06546A,IC BUF NON-INVERT 5.5V SC-70-5,IN_PRODUCTION,2027-04-12,4474.903225806453,7938.0,0.0,MSAC
Sienna,10-003594,FUSE BOARD MNT 750MA 250VAC 2SMD,IN_PRODUCTION,2027-04-12,6210.096774193549,13506.0,0.0,"9.6 KW Inverter, Bridge"
Qualitel,10-006205,IND 22.8μH±10％ Within (Typ.22.78μH) Custom,IN_PRODUCTION,2027-04-12,40171.35483870968,3488.0,30720.0,2.1 LFP Block
Qualitel,10-003468,CAP CER 0.1UF 100V X7R 0603,IN_PRODUCTION,2027-04-12,158918.41935483873,138759.0,0.0,2.1 LFP Block
Qualitel,10-002378,CAP CER 100PF 50V X7R 0402,IN_PRODUCTION,2027-04-12,197642.5483870968,191751.0,0.0,"2.1 LFP Block, MSAC"
Qualitel,10-000619,RES 1M OHM 5% 1/16W 0402 AEC-Q,IN_PRODUCTION,2027-04-12,4505.709677419356,18383.0,0.0,"MSAC, Terminal PCBA (TRM)"
Sienna,10-003002,"Guide, Header Pins, PCBA, Bridge",IN_PRODUCTION,2027-04-19,3822.8064516129034,5617.0,0.0,Bridge
Qualitel,10-000658,RES SMD 10K OHM 1% 1/16W 0402,IN_PRODUCTION,2027-04-19,495162.83870967745,425840.0,0.0,"2.1 LFP Block, MSAC, Power PCBA (IPC), Terminal PCBA (TRM)"
Qualitel,10-001369,MOSFET N-CH 600V 23A 8HSOF,IN_PRODUCTION,2027-04-19,38231.35483870968,12188.0,0.0,2.1 LFP Block
Qualitel,10-005099,DC DC CONVERTER 12V 1W,IN_PRODUCTION,2027-04-19,18784.67741935484,8275.0,0.0,2.1 LFP Block
Qualitel,10-004517,IC MCU 32BIT 2MB FLASH 100LQFP,IN_PRODUCTION,2027-04-19,18244.645161290326,9641.0,0.0,"2.1 LFP Block, Terminal PCBA (TRM)"
Qualitel,10-004534,FIXED IND 4.7UH 4.2A 35 MOHM SMD,IN_PRODUCTION,2027-04-19,2138.41935483871,5814.0,0.0,"MSAC, Terminal PCBA (TRM)"
Sienna,10-005080,"Breaker Hold-Down, Bridge",IN_PRODUCTION,2027-04-26,1795.9032258064517,2805.0,0.0,Bridge
Sienna,10-004611,"Safety Cover, Terminal Lug, Bridge",IN_PRODUCTION,2027-04-26,7529.612903225807,11350.0,0.0,Bridge
Qualitel,10-07273A,"Packaging, MSA Controller, Top Cover",IN_PRODUCTION,2027-04-26,2015.4516129032263,4191.0,0.0,MSAC
Sienna,10-002230,"Neutral/Ground Bar, Bridge",IN_PRODUCTION,2027-04-26,11188.419354838712,5631.0,0.0,Bridge
Sienna,10-002211,"Relay Cover, Bridge",IN_PRODUCTION,2027-04-26,1841.9032258064517,2878.0,0.0,Bridge
Sienna,10-002190,"Insulator Cap Neutral, Bridge",IN_PRODUCTION,2027-04-26,1806.9032258064517,2913.0,0.0,Bridge
Sienna,10-002173,"Assy Enclosure, Weldment, Bridge, Lunar Blue",IN_PRODUCTION,2027-04-26,1882.9032258064517,777.0,312.0,Bridge
Qualitel,10-002290,IC REG LINEAR 2.5V 200MA 8SOIC,IN_PRODUCTION,2027-04-26,17066.67741935484,10143.0,0.0,2.1 LFP Block
Qualitel,10-001809,Thick Film Resistors 0805 2Kohms 0.5W 1% AEC-Q200,IN_PRODUCTION,2027-04-26,35286.35483870968,39133.0,5000.0,2.1 LFP Block
Qualitel,10-000711,CMC 100UH 150MA 2LN SMD AEC-Q200,IN_PRODUCTION,2027-04-26,18649.225806451614,21670.0,0.0,"2.1 LFP Block, MSAC, Power PCBA (IPC), Terminal PCBA (TRM)"
Qualitel,10-004695,"CAP CER 330PF SAFETY X1,Y2 250VAC X7R 1808",IN_PRODUCTION,2027-04-26,35405.35483870968,25014.0,0.0,2.1 LFP Block
Qualitel,10-004422,"Label, 7x7 mm QR",IN_PRODUCTION,2027-04-26,52671.032258064515,28658.0,0.0,2.1 LFP Block
Qualitel,10-002280,FIXED IND 33UH 3A 60 MOHM SMD AEC-Q,IN_PRODUCTION,2027-04-26,53241.032258064515,41888.0,0.0,2.1 LFP Block
Qualitel,10-003274,CAP CER 10UF 100V X7S 10% 1210,IN_PRODUCTION,2027-04-26,70173.70967741936,50665.0,0.0,2.1 LFP Block
Qualitel,10-004341,"Screw,M3X6.5mm,SEMS and spring washer, BHT,T-8,ZiNi BC",IN_PRODUCTION,2027-04-26,212637.12903225806,158279.0,0.0,2.1 LFP Block
Qualitel,10-002958,MOSFET P-CH 100V 22A D2PAK,IN_PRODUCTION,2027-04-26,17224.67741935484,10385.0,0.0,2.1 LFP Block
Sienna,10-002590,"Insulator, Load Tray, Bridge",IN_PRODUCTION,2027-05-03,1753.9032258064517,2966.0,0.0,Bridge
Qualitel,10-002304,"CONN, HEADER, 4P, GRAY, VETICAL , Ni/Cu, TE",IN_PRODUCTION,2027-05-03,15674.67741935484,6260.0,0.0,2.1 LFP Block
Qualitel,10-006690,FERRITE BEAD 2.2 KOHM 0603 1LN,IN_PRODUCTION,2027-05-03,32057.35483870968,42362.0,0.0,2.1 LFP Block
Qualitel,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,IN_PRODUCTION,2027-05-03,32842.74193548387,17407.0,0.0,"2.1 LFP Block, Power PCBA (IPC)"
Qualitel,10-005297,CAP CER 2.2UF 10% 450V X6S 2220,IN_PRODUCTION,2027-05-03,33115.35483870968,20304.0,0.0,2.1 LFP Block
Qualitel,10-001716,CAP CER 10NF 25V X7R 0402,IN_PRODUCTION,2027-05-03,328550.22580645164,252853.0,0.0,2.1 LFP Block
Qualitel,10-000553,"3.8V-32V INPUT, 3.5A Low Iq Synchronous Buck with Enhanced EMI Reduction PWM Only AEC-Q",IN_PRODUCTION,2027-05-10,1700.354838709678,9744.0,0.0,"MSAC, Terminal PCBA (TRM)"
Qualitel,10-005681,FIXED IND 10UH 28A 2.5 MOHM SMD,IN_PRODUCTION,2027-05-10,14428.67741935484,11501.0,0.0,2.1 LFP Block
Qualitel,10-005178,RES 3.2K OHM 0.1% 1/10W 0603 AEC-Q,IN_PRODUCTION,2027-05-10,14468.67741935484,9741.0,0.0,2.1 LFP Block
Sienna,10-002195,"Relay Assembly, Bridge",IN_PRODUCTION,2027-05-10,1624.9032258064517,3095.0,0.0,Bridge
Qualitel,10-06755A,"Wall Bracket Asy, Battery Block, Type 2",IN_PRODUCTION,2027-05-10,14661.67741935484,688.0,0.0,2.1 LFP Block
Qualitel,10-001644,FUSE BOARD MNT 2A 63VAC/VDC 1206,IN_PRODUCTION,2027-05-10,15047.67741935484,22162.0,0.0,2.1 LFP Block
Qualitel,10-001437,DIODE RECT 100V 20A DPAK,IN_PRODUCTION,2027-05-10,15399.645161290326,13556.0,0.0,"2.1 LFP Block, Terminal PCBA (TRM)"
Qualitel,10-006641,CAP CER 10000PF 1KV X7R 1206,IN_PRODUCTION,2027-05-10,57637.70967741936,91201.0,0.0,2.1 LFP Block
Qualitel,10-004340,"Screw,M4X34mm,SEMS and spring washer, BHT,T-15,ZiNi BC",IN_PRODUCTION,2027-05-10,30147.35483870968,35272.0,0.0,2.1 LFP Block
Qualitel,10-002401,ROUND STANDOFF M2X0.4 STEEL 1MM,IN_PRODUCTION,2027-05-10,46034.032258064515,25595.0,0.0,2.1 LFP Block
Qualitel,10-004736,RES 100K OHM 0.5% 1/2W 0805 AEC-Q,IN_PRODUCTION,2027-05-10,57681.70967741936,41157.0,0.0,2.1 LFP Block
Qualitel,10-001286,IC GATE DRVR HALF-BRIDGE HI SPD,IN_PRODUCTION,2027-05-10,92119.06451612903,71139.0,0.0,2.1 LFP Block
Qualitel,10-004548,RES SMD 3 OHM 5% 1/10W 0402 AEC-Q,IN_PRODUCTION,2027-05-10,231204.83870967745,154150.0,0.0,2.1 LFP Block
Sienna,10-002208,"Wire Terminal Lug, 250MCM, Aluminum, Tin-Plated",IN_PRODUCTION,2027-05-10,16470.032258064515,13229.0,0.0,Bridge
Qualitel,10-003458,MOSFET P-CH 100V 6.6A DPAK,IN_PRODUCTION,2027-05-17,14296.67741935484,10913.0,0.0,2.1 LFP Block
Qualitel,10-006639,CAP CER 1000PF 1KV X7R 1812,IN_PRODUCTION,2027-05-17,13455.67741935484,14754.0,0.0,2.1 LFP Block
Sienna,20-005748,"PCB, Lunar Bridge Control Board Type B",IN_PRODUCTION,2027-05-17,1513.9032258064517,3206.0,0.0,Bridge
Qualitel,10-006220,IC VREF SERIES 0.1% 8SOIC,IN_PRODUCTION,2027-05-17,14018.67741935484,10691.0,0.0,2.1 LFP Block
Qualitel,10-002956,IC REG LINEAR 3.3V 100MA 6DFN,IN_PRODUCTION,2027-05-17,14028.67741935484,14181.0,0.0,2.1 LFP Block
Qualitel,10-006696,RES SMD 2 OHM 5% 1W 2512 AEC-Q,IN_PRODUCTION,2027-05-17,14040.67741935484,19169.0,0.0,2.1 LFP Block
Qualitel,10-000603,LED RED CLEAR 2SMD,IN_PRODUCTION,2027-05-17,15281.09677419355,13881.0,0.0,"2.1 LFP Block, MSAC, Terminal PCBA (TRM)"
Qualitel,10-006640,CAP CER 1000PF 1KV X7R 1206,IN_PRODUCTION,2027-05-17,57022.70967741936,74316.0,0.0,2.1 LFP Block
Qualitel,10-004897,CAP CER 47PF 250VAC SL 1808,IN_PRODUCTION,2027-05-17,28451.35483870968,15968.0,0.0,2.1 LFP Block
Qualitel,10-001075,DIODE SCHOTTKY 100V 3A DO214AB AEC-Q,IN_PRODUCTION,2027-05-17,41739.032258064515,34890.0,0.0,2.1 LFP Block
Qualitel,10-006493,THERMISTOR NTC 10KOHM B25/50=3380K 0603,IN_PRODUCTION,2027-05-17,42703.032258064515,36926.0,0.0,2.1 LFP Block
Qualitel,10-002604,LED GREEN CLEAR CHIP SMD,IN_PRODUCTION,2027-05-17,56431.70967741936,40407.0,0.0,2.1 LFP Block
Qualitel,10-006637,DIODE SCHOTTKY 40V 500MA 0402,IN_PRODUCTION,2027-05-17,85777.06451612903,82481.0,0.0,2.1 LFP Block
Qualitel,10-002816,"Screw and washer,M5 x 13,SEMS,BHT T-25,Steel,ZiNi BC,Nylon Patch",IN_PRODUCTION,2027-05-17,28161.35483870968,18568.0,0.0,2.1 LFP Block
Sienna,10-000603,LED RED CLEAR 2SMD,IN_PRODUCTION,2027-05-24,1347.2903225806458,8929.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,20-005340,PCB Lunar Bridge CAN Pigtail Board Rev 1,IN_PRODUCTION,2027-05-24,1422.9032258064517,3297.0,0.0,Bridge
Qualitel,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,IN_PRODUCTION,2027-05-24,12691.67741935484,12018.0,0.0,2.1 LFP Block
Qualitel,10-000646,RES SMD 1K OHM 1% 1/16W 0402 AEC-Q,IN_PRODUCTION,2027-05-24,13152.774193548394,58419.0,0.0,"MSAC, Terminal PCBA (TRM)"
Qualitel,10-002957,MOSFET N-CH 100V 170MA SOT23-3,IN_PRODUCTION,2027-05-24,24111.35483870968,50308.0,0.0,2.1 LFP Block
Qualitel,10-006492,PC TEST POINT COMPACT,IN_PRODUCTION,2027-05-24,25201.35483870968,25118.0,0.0,2.1 LFP Block
Qualitel,10-001191,"DUAL, ZERO-DRIFT OP AMP, E TEMP",IN_PRODUCTION,2027-05-24,36515.032258064515,75114.0,0.0,2.1 LFP Block
Qualitel,10-002138,IC REG BUCK ADJ 3A 8HTSOP-J,IN_PRODUCTION,2027-05-24,37600.032258064515,34029.0,0.0,2.1 LFP Block
Qualitel,10-002376,CAP CER 1UF 25V X5R 0402,IN_PRODUCTION,2027-05-24,51668.70967741936,67170.0,0.0,2.1 LFP Block
Qualitel,10-002384,DIODE SCHOTTKY 200V 1A SOD123W,IN_PRODUCTION,2027-05-24,75227.06451612903,88031.0,0.0,2.1 LFP Block
Qualitel,10-002287,RES SMD 4.99KOHM 0.1% 1/10W 0603,IN_PRODUCTION,2027-05-24,155440.12903225806,156076.0,0.0,2.1 LFP Block
Qualitel,10-000551,RES 31.2K OHM 0.5% 1/16W 0402 AEC-Q,IN_PRODUCTION,2027-05-31,1228.4193548387102,6724.0,0.0,"MSAC, Terminal PCBA (TRM)"
Sienna,10-000894,CAP CER 2200PF 100V X7R 0603 AEC-Q,IN_PRODUCTION,2027-05-31,1258.9032258064508,12541.0,0.0,"9.6 KW Inverter, Bridge, PV Hub"
Sienna,20-005485,"PCB, Lunar Bridge Interface Board, Type B",IN_PRODUCTION,2027-05-31,1292.9032258064517,3427.0,0.0,Bridge
Sienna,10-05006A,"Foam Seal, Top Service Entry, Bridge",IN_PRODUCTION,2027-05-31,1303.9032258064517,2534.0,0.0,Bridge
Sienna,10-000641,DIODE SCHOTTKY 40V 1A SOD323HE,IN_PRODUCTION,2027-05-31,5047.387096774193,24945.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-003810,"Screw, Sheet Metal, M3x8mm, Steel, ZiNi Plated",IN_PRODUCTION,2027-05-31,7430.419354838712,18856.0,0.0,Bridge
Qualitel,10-001434,CRYSTAL 12.0000MHZ 8PF SMD,IN_PRODUCTION,2027-05-31,11014.67741935484,17195.0,0.0,2.1 LFP Block
Sienna,10-002041,Switching Voltage Regulators OPTIREG SWITCHER,IN_PRODUCTION,2027-05-31,1295.9032258064517,3300.0,0.0,Bridge
Qualitel,10-001610,DIODE SCHOTTKY 80V 1A SOD123 AEC-Q,IN_PRODUCTION,2027-05-31,11054.67741935484,26155.0,0.0,2.1 LFP Block
Qualitel,10-006688,RES SMD 500 UOHM 1% 10W 2512,IN_PRODUCTION,2027-05-31,11066.67741935484,6143.0,0.0,2.1 LFP Block
Qualitel,10-06717A,MOSFET N-CH 30V 4A SOT23F,IN_PRODUCTION,2027-05-31,11285.67741935484,10924.0,0.0,2.1 LFP Block
Sienna,10-002215,"Screw,M6 6h X 18mm,BHT T30,Grade 8.8,ZiNi BC",IN_PRODUCTION,2027-05-31,18377.548387096773,39401.0,0.0,Bridge
Sienna,10-002212,"Bolt with Washer, M5 x 11, T25 Drive, Steel, Zinc Plated",IN_PRODUCTION,2027-05-31,20494.451612903227,45029.0,0.0,Bridge
Sienna,10-002235,"Bolt, M5 x 14, T25 Drive, Steel, Zn-Ni Plated",IN_PRODUCTION,2027-05-31,22778.258064516136,45383.0,0.0,Bridge
Sienna,10-003068,"NUT, M5x0.8 6Hx5mm, NYLON INSERT, STEEL, 3um ZINC",IN_PRODUCTION,2027-05-31,29083.87096774194,54988.0,0.0,Bridge
Qualitel,10-005214,TVS DIODE 376VWM 602VC DO214AB,IN_PRODUCTION,2027-05-31,11019.67741935484,17190.0,0.0,2.1 LFP Block
Sienna,20-005783,PCB Lunar Bridge Rogowski Coil Pigtail Board Type B,IN_PRODUCTION,2027-06-07,1191.9032258064517,2748.0,0.0,Bridge
Sienna,10-002109,"Screw,M5 x 0.8 6g x 8mm,BHT T-25,Steel,ZnNi BC,Nylon Patch",IN_PRODUCTION,2027-06-07,2364.8064516129034,7075.0,0.0,Bridge
Qualitel,10-006702,RES 270 OHM 1% 1/16W 0402,IN_PRODUCTION,2027-06-07,4671.806451612903,10154.0,0.0,MSAC
Qualitel,10-006355,CAP CER 12PF 50V C0G/NP0 0402,IN_PRODUCTION,2027-06-07,4772.806451612903,10053.0,0.0,MSAC
Sienna,10-001918,CAP 3.3F 3V .075 OHM,IN_PRODUCTION,2027-06-07,7881.322580645163,13866.0,0.0,Bridge
Qualitel,10-006704,RES 4.99K OHM 1% 1/16W 0402,IN_PRODUCTION,2027-06-07,4734.806451612903,10091.0,0.0,MSAC
Qualitel,10-006646,RES 18K OHM 1% 1/10W 0603 AEC-Q200,IN_PRODUCTION,2027-06-07,10068.67741935484,27141.0,0.0,2.1 LFP Block
Qualitel,10-002302,SENSOR THERMISTOR NTC,IN_PRODUCTION,2027-06-07,10227.67741935484,26982.0,0.0,2.1 LFP Block
Qualitel,10-002291,RES SMD 28.7K OHM 1% 1/10W 0603 AEC-Q,IN_PRODUCTION,2027-06-07,20160.35483870968,39259.0,0.0,2.1 LFP Block
Qualitel,10-004162,RES SMD 20 OHM 1% 1/4W 1206 AEC-Q200,IN_PRODUCTION,2027-06-07,21040.35483870968,53379.0,0.0,2.1 LFP Block
Qualitel,10-006635,RES SMD 2 OHM 1% 1/5W 0402,IN_PRODUCTION,2027-06-07,60465.06451612903,132793.0,0.0,2.1 LFP Block
Sienna,10-001922,RES SMD 6.8 OHM 0.1% 1/10W ±25ppm 0805,IN_PRODUCTION,2027-06-07,8910.225806451614,13849.0,0.0,Bridge
Qualitel,10-000558,CAP CER 4.7UF 16V X7R 0805 AEC-Q,IN_PRODUCTION,2027-06-14,1984.8709677419356,12174.0,0.0,"MSAC, Terminal PCBA (TRM)"
Sienna,10-000559,CAP CER 1000PF 50V X7R 0402 AEC-Q,IN_PRODUCTION,2027-06-14,4756.677419354848,244080.0,0.0,"9.6 KW Inverter, Bridge, PV Hub"
Sienna,10-002234,"Bolt, Flat Head, M4 x 13, Steel, Zn-Ni Plated",IN_PRODUCTION,2027-06-14,5648.419354838712,22671.0,0.0,Bridge
Qualitel,10-003708,CRYSTAL 32.7680KHZ 9PF SMD,IN_PRODUCTION,2027-06-14,8692.67741935484,18517.0,0.0,2.1 LFP Block
Qualitel,10-001645,"Screw,4-20X PLAST 0.375 in,BHT,T/F,Steel",IN_PRODUCTION,2027-06-14,69766.41935483873,135911.0,0.0,2.1 LFP Block
Qualitel,10-001161,RES SMD 16K OHM 5% 1/4W 0603 AEC-Q,IN_PRODUCTION,2027-06-14,8284.67741935484,28925.0,0.0,2.1 LFP Block
Sienna,10-003838,"Connector, Socket, WAGO, 6 POS, SMT",IN_PRODUCTION,2027-06-21,900.9032258064517,2768.0,0.0,Bridge
Sienna,10-003357,XFMR CUSTOM SMD 12PIN 31.00 X 32.70 X 15.50MM MAX,IN_PRODUCTION,2027-06-21,818.9032258064517,2351.0,0.0,Bridge
Sienna,10-002205,"Bus Bar, BU, L2, Bridge",IN_PRODUCTION,2027-06-21,822.9032258064517,700.0,10.0,Bridge
Sienna,10-006448,DIODE SCHOTTKY 40V 2A 1206,IN_PRODUCTION,2027-06-21,837.9032258064517,3882.0,0.0,Bridge
Sienna,10-002548,"Nano-Fit Terminal Position Assurance (TPA) Retainer, 2.50mm Pitch, 3 Circuits, Natural",IN_PRODUCTION,2027-06-21,793.9032258064517,1426.0,0.0,Bridge
Sienna,10-004342,IC MCU 32BIT 512KB FLASH 64TQFP,IN_PRODUCTION,2027-06-21,851.9032258064517,1659.0,0.0,Bridge
Sienna,10-004091,CONN HEADER VERT 10POS 2MM,IN_PRODUCTION,2027-06-21,886.9032258064517,3833.0,0.0,Bridge
Sienna,10-002916,FIXED IND 3.3UH 6A 19.2MOHM SMD AEC-Q,IN_PRODUCTION,2027-06-21,910.6774193548381,5772.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-002229,"Insulator, Ground Bar, Bridge",IN_PRODUCTION,2027-06-21,847.9032258064517,2872.0,0.0,Bridge
Sienna,10-002324,"Washer, 1/4-20, Steel, Zinc-Plated",IN_PRODUCTION,2027-06-21,1774.8064516129034,7665.0,0.0,Bridge
Sienna,10-000646,RES SMD 1K OHM 1% 1/16W 0402 AEC-Q,IN_PRODUCTION,2027-06-21,11046.290322580637,195615.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-001227,RES SMD 220 OHM 1% 2W 2512 AEC-Q,IN_PRODUCTION,2027-06-21,9719.838709677424,46919.0,0.0,Bridge
Qualitel,10-005073,CAP CER 10UF 10V X7R 0805,IN_PRODUCTION,2027-06-21,8034.677419354841,15175.0,0.0,2.1 LFP Block
Sienna,10-000958,DGTL ISO 5000VRMS 5CH GP 16SOIC,IN_PRODUCTION,2027-06-21,1649.8064516129034,7790.0,0.0,Bridge
Sienna,10-000858,RES SMD 1.2K OHM 0.1% 1/4W 1206 AEC-Q,IN_PRODUCTION,2027-06-21,3640.387096774193,21352.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-000595,CAP CER 22UF 16V X7R 1210 AEC-Q,IN_PRODUCTION,2027-06-21,3328.612903225807,9551.0,0.0,Bridge
Sienna,10-005856,"Packaging, Bridge, Back Cap Frame",IN_PRODUCTION,2027-06-21,4140.516129032258,6645.0,0.0,Bridge
Sienna,10-06108A,"Closing Plate, Top Service Entry, Bridge, Lunar Blue",IN_PRODUCTION,2027-06-28,700.9032258064517,1801.0,0.0,Bridge
Sienna,10-002232,"Bus Bar, Ground, Bridge",IN_PRODUCTION,2027-06-28,714.9032258064517,705.0,57.0,Bridge
Sienna,10-002754,"Bus Bar, Load Tray, Right, Bridge",IN_PRODUCTION,2027-06-28,722.9032258064517,1158.0,0.0,Bridge
Qualitel,10-001337,XMC4400F100K512BAXQMA1,IN_PRODUCTION,2027-06-28,727.6451612903229,4984.0,0.0,"MSAC, Power PCBA (IPC)"
Sienna,10-002691,"Plate, Thermal Break, PCBA, Bridge",IN_PRODUCTION,2027-06-28,732.9032258064517,3987.0,0.0,Bridge
Sienna,10-002207,"Bus Bar, Load Tray, Left, Bridge",IN_PRODUCTION,2027-06-28,753.9032258064517,703.0,109.0,Bridge
Sienna,10-06733A,"Label, Limit, PCS",IN_PRODUCTION,2027-06-28,1017.8064516129034,8190.0,0.0,"Bridge, Rogowski Coil"
Sienna,10-003350,DIODE SCHOTTKY 200V 5A SMC,IN_PRODUCTION,2027-06-28,1284.5806451612916,19268.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-002219,"Standoff, Load Tray, Top, Bridge",IN_PRODUCTION,2027-06-28,777.9032258064517,2442.0,0.0,Bridge
Sienna,10-002647,"Compression Bar, PCBA, Bridge",IN_PRODUCTION,2027-06-28,1525.8064516129034,5414.0,0.0,Bridge
Qualitel,10-000685,RES SMD 20 OHM 1% 1/10W 0402 AEC-Q,IN_PRODUCTION,2027-06-28,1537.8709677419356,12621.0,0.0,"MSAC, Terminal PCBA (TRM)"
Qualitel,10-006705,RES 9.1K OHM 1% 1/16W 0402,IN_PRODUCTION,2027-06-28,2758.806451612905,22067.0,0.0,MSAC
Sienna,10-005853,"Packaging, Bridge, Front Cap Frame",IN_PRODUCTION,2027-06-28,3481.5161290322576,7718.0,0.0,Bridge
Sienna,10-003732,CAP CER 2200PF 250VAC X7R 2211,IN_PRODUCTION,2027-06-28,4016.419354838712,24303.0,0.0,Bridge
Sienna,10-000561,CAP CER 10000PF 25V X7R 0402 AEC-Q,IN_PRODUCTION,2027-06-28,4637.032258064515,76377.0,0.0,"9.6 KW Inverter, Bridge, PV Hub"
Qualitel,10-001072,DIODE GEN PURP 200V 3A SOD128 AEC-Q,IN_PRODUCTION,2027-06-28,19168.032258064515,50461.0,0.0,2.1 LFP Block
Sienna,10-003756,"PCB Pin, 0.762mm x 24mm",IN_PRODUCTION,2027-06-28,1507.8064516129034,7932.0,0.0,Bridge
Sienna,10-000606,TVS DIODE 16VWM 26VC SMA,IN_PRODUCTION,2027-07-05,513.9032258064517,4206.0,0.0,Bridge
Sienna,10-001129,RES SMD 1K OHM 1% 1/10W 0603,IN_PRODUCTION,2027-07-05,566.9032258064517,4153.0,0.0,Bridge
Sienna,10-000760,"Free Height, PCB Mount Header, Vertical, Board-to-Board, 40 Position, .8mm [.031in] Centerline, Full",IN_PRODUCTION,2027-07-05,576.9032258064517,4143.0,0.0,Bridge
Sienna,10-000992,CONN HEADER SMD 3POS 2.5MM,IN_PRODUCTION,2027-07-05,584.9032258064517,4135.0,0.0,Bridge
Sienna,10-002203,"Bus Bar, NBU, L1, Bridge",IN_PRODUCTION,2027-07-05,599.9032258064517,504.0,0.0,Bridge
Sienna,10-003488,RES 20K OHM 1% 1/16W 0402,IN_PRODUCTION,2027-07-05,602.9032258064517,4117.0,0.0,Bridge
Sienna,10-003525,CONN HEADER SMD 10POS 2.5MM,IN_PRODUCTION,2027-07-05,603.9032258064517,3216.0,0.0,Bridge
Sienna,10-003837,"Connector, Socket, WAGO, 4 POS, SMT",IN_PRODUCTION,2027-07-05,604.9032258064517,2794.0,0.0,Bridge
Sienna,10-002204,"Bus Bar, NBU, L2, Bridge",IN_PRODUCTION,2027-07-05,622.9032258064517,1187.0,5.0,Bridge
Sienna,10-002206,"Bus Bar, BU, L1, Bridge",IN_PRODUCTION,2027-07-05,628.9032258064517,1038.0,41.0,Bridge
Sienna,10-003489,RES 4.99K OHM 1% 1/4W 1206 AEC-Q,IN_PRODUCTION,2027-07-05,1039.8064516129034,8400.0,0.0,Bridge
Sienna,10-002008,CAP CER 1UF 10V X7S 0402 AEC-Q,IN_PRODUCTION,2027-07-05,1154.8064516129034,8285.0,0.0,Bridge
Qualitel,10-001602,RES SMD 115K OHM 1% 1/10W 0603,IN_PRODUCTION,2027-07-05,5214.677419354841,31995.0,0.0,2.1 LFP Block
Qualitel,10-006687,CAP CER 330PF 25V X7R 0402,IN_PRODUCTION,2027-07-05,10205.354838709682,24214.0,0.0,2.1 LFP Block
Qualitel,10-006678,CAP CER 10NF 100V X7R 0603,IN_PRODUCTION,2027-07-05,14037.032258064515,61592.0,0.0,2.1 LFP Block
Sienna,10-002244,"Bus Bar, Neutral, Bridge",IN_PRODUCTION,2027-07-05,617.9032258064518,220.0,0.0,Bridge
Sienna,10-002243,"Insulator, Neutral Bar, Bridge",IN_PRODUCTION,2027-07-12,378.9032258064517,2841.0,0.0,Bridge
Sienna,10-002911,CONN RCPT USB2.0 MICRO B SMD,IN_PRODUCTION,2027-07-12,399.9032258064517,3320.0,0.0,Bridge
Sienna,10-000626,"Rectangular Power Connector, 9 Contact(s), Male, Solder Terminal, Receptacle",IN_PRODUCTION,2027-07-12,413.9032258064517,2606.0,0.0,Bridge
Sienna,10-000855,CRYSTAL 32.768KHZ 9PF SMD AEC-Q,IN_PRODUCTION,2027-07-12,428.6774193548381,6404.0,0.0,"9.6 KW Inverter, Bridge"
Sienna,10-002599,"Standoff, Wire Lug, S1/S2, Bridge",IN_PRODUCTION,2027-07-12,441.9032258064517,2778.0,0.0,Bridge
Sienna,10-002221,"Enclosure, PCBA's, Bridge",IN_PRODUCTION,2027-07-12,463.9032258064517,2756.0,0.0,Bridge
Sienna,10-004217,CAP CER 2.2UF 250V X7T 2220,IN_PRODUCTION,2027-07-12,661.8064516129034,8778.0,0.0,Bridge
