Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-04-2026,Lunar Netsuite,10-001572,10-001572,RES 249K OHM 1% 1/10W 0603,Electrical Components,OTS,NexGen Digital Inc,NS,FALSE,Lunar Energy,244452,0,0.0014,342.2328,0,0,Unrestricted,244452
08-04-2026,Lunar Netsuite,10-001573,10-001573,RES 634K OHM 1% 1/10W 0603,Electrical Components,OTS,CCL (Computer Components Ltd),NS,FALSE,Lunar Energy,344723,0,0.0014,482.6122,0,0,Unrestricted,344723
08-04-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1732,0,10.86,18809.52,0,1,Unrestricted,1732
08-04-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,601,0,10.86,6526.86,0,1,Unrestricted,601
08-04-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,RI25,FALSE,Sienna Corporation,1920,0,10.86,20851.2,0,1,Unrestricted,1920
08-04-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,RI45,FALSE,Sienna Corporation,3360,0,10.86,36489.6,0,1,Unrestricted,3360
08-04-2026,Lunar Netsuite,10-001580,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,Avnet,NS,FALSE,Lunar Energy,15000,0,1.25,18750,0,0,Unrestricted,15000
08-04-2026,CM: Celestica MX,10-0015803MS,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,Monterrey Prod,1000,FALSE,Celestica,3,0,2.37,7.11,0,0,Unrestricted,3
08-04-2026,Lunar Netsuite,10-001580,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,Sienna Corporation - GA,NS,FALSE,Lunar Energy,2500,0,1.25,3125,0,0,Unrestricted,0
08-04-2026,CM: Qualitel WA,814L-10-001580,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,12018,0,1.25,15022.5,0,0,Unrestricted,12018
08-04-2026,CM: Sienna GA,C10-001580 REV-2,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,ATLN,WS13,TRUE,Lunar Energy,2500,0,0,0,0,2,Unrestricted,2500
08-04-2026,Lunar Netsuite,10-001580,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,10510,0,1.3044,13709.244,0,0,Unrestricted,10510
08-04-2026,CM: Sienna GA,10-001581 REV-01,10-001581,SPEED & CURRENT SENSORS PG-TISON,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,5000,0,2.53,12650,0,1,Unrestricted,5000
08-04-2026,CM: Sienna GA,10-001581 REV-01,10-001581,SPEED & CURRENT SENSORS PG-TISON,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,2078,0,2.53,5257.34,0,1,Unrestricted,2078
08-04-2026,CM: Qualitel WA,814L-10-001581,10-001581,SPEED & CURRENT SENSORS PG-TISON,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,6219,0,1.27,7898.13,0,0,Unrestricted,6219
