,cm,part,description,item_category,cm_on_hand,cm_on_order,cm_unit_price,cm_price_source,lunar_on_hand_alloc,lunar_on_order_alloc,lunar_unit_price,obsolescence_state,projection_type,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07
0,Lunar,10-006820,0,0,0,0,0,,0,2700,1.7757475407407408,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Sienna,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,Electrical Components,5555,2037,1.5653797468354427,CM On-Hand,3785,0,0.7627890749918286,Active in Both,CM Depletion,9503,6849,7533,4956,2739,789,0,0,0,0,0,0,0
2,Celestica,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,Electrical Components,0,0,1.5653797468354427,CM On-Hand,0,0,0.7627890749918286,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lunar,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,Electrical Components,0,0,1.5653797468354427,CM On-Hand,287573,0,0.7627890749918286,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Qualitel,10-002318,Current Sensor 120A Channel 8-PowerTDFN AEC-Q,Electrical Components,29205,75000,1.5653797468354427,CM On-Hand,48239,0,0.7627890749918286,Active in Both,CM Depletion,40047,31979,27270,9964,186,0,34064,34064,34064,34064,34064,34064,34064
5,Sienna,10-002485,IC BUF NON-INVERT 5.5V SOT23-5,Electrical Components,3029,3000,0.07100066028392209,CM On-Hand,3577,0,0.2584,Gen 1 Only,CM Depletion,96,107,85,98,83,39,0,0,0,0,0,0,0
6,Lunar,10-002485,IC BUF NON-INVERT 5.5V SOT23-5,Electrical Components,0,0,0.07100066028392209,CM On-Hand,151707,0,0.2584,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Sienna,10-000678,RES SMD 150 OHM 1% 1/3W 0603 AEC-Q,Electrical Components,24920,0,0.010886920560459232,CM On-Hand,0,0,0.012299999999999998,Gen 1 Only,CM Depletion,261,240,219,199,181,170,160,152,147,142,135,128,121
8,Qualitel,10-000678,RES SMD 150 OHM 1% 1/3W 0603 AEC-Q,Electrical Components,7482,0,0.010886920560459232,CM On-Hand,0,0,0.012299999999999998,Gen 1 Only,CM Depletion,83,78,74,71,68,68,68,68,68,68,68,68,68
9,Lunar,10-000678,RES SMD 150 OHM 1% 1/3W 0603 AEC-Q,Electrical Components,0,0,0.010886920560459232,CM On-Hand,189000,10000,0.012299999999999998,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Qualitel,10-06647B,"PCBA DCDC/BMS, with Conformal Coating",Part,2,0,194.03245,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Lunar,10-06647B,"PCBA DCDC/BMS, with Conformal Coating",Part,0,0,194.03245,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sienna,10-000565,CAP CER 3.3PF 50V C0G/NPO 0402 AEC-Q,Electrical Components,60582,451,0.004657695811750007,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Qualitel,10-000565,CAP CER 3.3PF 50V C0G/NPO 0402 AEC-Q,Electrical Components,16252,0,0.004657695811750007,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Lunar,10-000565,CAP CER 3.3PF 50V C0G/NPO 0402 AEC-Q,Electrical Components,0,0,0.004657695811750007,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Sienna,10-06110A,"Screw, Button, 12-24x0.55, T25, Steel with Zinc Coating",Part,8940,7000,0.09,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,843,809,690,1201,1083,964,856,748,640,496,316,100,0
16,Lunar,10-06110A,"Screw, Button, 12-24x0.55, T25, Steel with Zinc Coating",Part,0,0,0.09,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Lunar,10-006898,"IND 10UH 21A 3.88 MOHM SMD (0.886"" L x 0.866"" W (22.50mm x 22.00mm))",Electrical Components,0,0,0,,850,300,3.11,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Lunar,10-000996,RES 27K OHM 1% 1/16W 0402,Electrical Components,0,0,0,,1388,1392,0.0032,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sienna,10-004719,"Wire Harness, Power, DC Contactors",Part,1819,2715,10.488,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,20137,22969,17725,9334,1070,0,0,0,0,0,0,0,0
20,Lunar,10-004719,"Wire Harness, Power, DC Contactors",Part,0,0,10.488,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Sienna,10-07296A,"Label, 2x5, 10kWh, Blue Primary / Lighter",Part,995,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Lunar,10-07296A,"Label, 2x5, 10kWh, Blue Primary / Lighter",Part,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lunar,10-006729,"TRANSFORMER POWER -40°C to +125°C PTH 14 PIN 32.25MM X 27.05MM X 22,86MM",Electrical Components,0,0,0,,784,0,6.35,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lunar,10-006989,0,0,0,0,0,,0,1350,0.048,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Sienna,10-004639,"Heat Sink, Maximizer",Assembly,35902,79200,1.0246292685644254,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,39580,50605,76016,60442,65565,50196,50196,50196,50196,50196,50196,50196,50196
26,Lunar,10-004639,"Heat Sink, Maximizer",Assembly,0,0,1.0246292685644254,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Lunar,10-006859,RES SMD 32.4K OHM 1% 1/16W 0402,Electrical Components,0,0,0,,26350,0,0.002,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Lunar,10-007008,0,0,0,0,0,,0,1000,0.115,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Sienna,10-000851,Current Sense Amplifier 1 Circuit Rail-to-Rail SC-70-6 AEC-Q,Electrical Components,6882,0,0.856956678700361,CM On-Hand,0,0,0.7871666666666667,Gen 1 Only,CM Depletion,6049,5323,4637,3932,3325,2791,2298,1886,1826,1826,1826,1826,1826
30,Qualitel,10-000851,Current Sense Amplifier 1 Circuit Rail-to-Rail SC-70-6 AEC-Q,Electrical Components,4752,0,0.856956678700361,CM On-Hand,0,0,0.7871666666666667,Gen 1 Only,CM Depletion,4185,3792,3525,3257,3022,2988,2988,2988,2988,2988,2988,2988,2988
31,Lunar,10-000851,Current Sense Amplifier 1 Circuit Rail-to-Rail SC-70-6 AEC-Q,Electrical Components,0,0,0.856956678700361,CM On-Hand,9000,0,0.7871666666666667,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Lunar,30-07320C,Maximizer 2.0 C2000 Variant,PCBA,0,0,0,,32,0,45.6344,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Lunar,10-006759,0,0,0,0,0,,0,1050,0.112,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Sienna,10-000685,RES SMD 20 OHM 1% 1/10W 0402 AEC-Q,Electrical Components,32725,0,0.0013159667472383491,CM On-Hand,0,0,0.0017,Active in Both,CM Depletion,31,29,26,24,22,20,19,18,18,17,16,15,14
35,Qualitel,10-000685,RES SMD 20 OHM 1% 1/10W 0402 AEC-Q,Electrical Components,11542,0,0.0013159667472383491,CM On-Hand,3211,0,0.0017,Active in Both,CM Depletion,15,13,11,10,8,6,5,4,2,1,0,0,0
36,Lunar,10-000685,RES SMD 20 OHM 1% 1/10W 0402 AEC-Q,Electrical Components,0,0,0.0013159667472383491,CM On-Hand,286789,0,0.0017,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Sienna,10-001545,RES 499 OHM 1% 1/10W 0603 AEC-Q,Electrical Components,3220,0,0.0016999999999999997,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Lunar,10-001545,RES 499 OHM 1% 1/10W 0603 AEC-Q,Electrical Components,0,0,0.0016999999999999997,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Lunar,10-006756,0,0,0,0,0,,0,1200,0.57483,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Sienna,10-003498,"Assy, SnapNRack, Maximizer Hub",Assembly,605,2545,0.057801652892561985,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,43,18,94,79,38,2,2,2,2,2,2,2,2
41,Lunar,10-003498,"Assy, SnapNRack, Maximizer Hub",Assembly,0,0,0.057801652892561985,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Sienna,10-003778,DIODE SCHOTTKY 150V 1A SMA AEC-Q,Electrical Components,73771,0,0.08564166259827276,CM On-Hand,0,0,0.136,Active in Both,CM Depletion,6685,6014,5370,4718,4175,3821,3516,3263,3100,2925,2730,2493,2285
43,Qualitel,10-003778,DIODE SCHOTTKY 150V 1A SMA AEC-Q,Electrical Components,45031,0,0.08564166259827276,CM On-Hand,0,0,0.136,Active in Both,CM Depletion,3902,3745,3638,3531,3437,3423,3423,3423,3423,3423,3423,3423,3423
44,Lunar,10-003778,DIODE SCHOTTKY 150V 1A SMA AEC-Q,Electrical Components,0,0,0.08564166259827276,CM On-Hand,0,1000,0.136,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Qualitel,10-07746A,"Packaging, LFP BB + WB, HSC Cover with Artwork",Part,6735,15680,2.42,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Lunar,10-07746A,"Packaging, LFP BB + WB, HSC Cover with Artwork",Part,0,0,2.42,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Lunar,10-003472,"Schottky Diode, Trench-based, 500 mA,30 V, 01005 (0402 Metric)",Electrical Components,0,0,0,,38710,0,0.060899999999999996,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Sienna,10-001570,RES 4.99K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,34636,30000,0.0015800769470728916,CM On-Hand,0,0,0.0020758536585365854,Active in Both,CM Depletion,58,46,35,23,60,52,43,37,36,36,36,36,36
49,Qualitel,10-001570,RES 4.99K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,23066,0,0.0015800769470728916,CM On-Hand,0,0,0.0020758536585365854,Active in Both,CM Depletion,38,32,27,23,19,18,18,18,18,18,18,18,18
50,Lunar,10-001570,RES 4.99K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,0,0,0.0015800769470728916,CM On-Hand,0,41000,0.0020758536585365854,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Sienna,10-004546,"Label, Serial Number, Inverter",Assembly,580,0,0.05,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,33,9,0,0,0,0,0,0,0,0,0,0,0
52,Lunar,10-004546,"Label, Serial Number, Inverter",Assembly,0,0,0.05,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Sienna,10-004489,DIODE ARRAY SCHOTTKY 30V SOT23-3,Electrical Components,377899,84000,0.012000000000000002,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,4686,3921,3191,2439,1778,2694,2694,2694,2694,2694,2694,2694,2694
54,Lunar,10-004489,DIODE ARRAY SCHOTTKY 30V SOT23-3,Electrical Components,0,0,0.012000000000000002,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Lunar,10-006721,0,0,0,0,0,,0,2700,0.7543731555555556,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Sienna,10-001725,CAP CER 0.1UF ±10% 50V X7R 0603 AEC-Q,Electrical Components,259637,124000,0.007061713624287542,CM On-Hand,0,0,0.0118,Active in Both,CM Depletion,1260,1009,1647,1403,1193,1008,837,695,674,674,674,674,674
57,Qualitel,10-001725,CAP CER 0.1UF ±10% 50V X7R 0603 AEC-Q,Electrical Components,681627,336000,0.007061713624287542,CM On-Hand,105377,0,0.0118,Active in Both,CM Depletion,4168,2400,2257,747,0,0,0,0,0,0,0,0,0
58,Lunar,10-001725,CAP CER 0.1UF ±10% 50V X7R 0603 AEC-Q,Electrical Components,0,0,0.007061713624287542,CM On-Hand,170623,240000,0.0118,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Celestica,10-001725,CAP CER 0.1UF ±10% 50V X7R 0603 AEC-Q,Electrical Components,3879,0,0.007061713624287542,CM On-Hand,0,0,0.0118,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Sienna,10-004323,"TIM, Inductor Housing 1, Inverter Power Module",Part,4292,1000,3.28,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,15226,13651,11027,8403,5819,3293,4769,2965,1161,1161,1161,1161,1161
61,Lunar,10-004323,"TIM, Inductor Housing 1, Inverter Power Module",Part,0,0,3.28,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Lunar,10-001172,RES SMD 390 OHM 5% 1/4W 0603,Electrical Components,0,0,0,,10000,0,0.0074,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Lunar,10-002858,DIODE ZENER 17V 500MW SOD123,Electrical Components,0,0,0,,27000,0,0.0285,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Lunar,10-002903,RES 24K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,0,0,0,,9935,0,0.0018,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Qualitel,10-005394,0,0,0,540000,0.0262,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Lunar,10-005394,0,0,0,0,0.0262,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Sienna,10-003885,"Antenna Box, Top, Maximizer",Part,49074,35000,0.014041651383624731,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,727,1100,887,673,463,252,252,252,252,252,252,252,252
68,Lunar,10-003885,"Antenna Box, Top, Maximizer",Part,0,0,0.014041651383624731,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Lunar,10-07420A,"Wire Harness, Home Controller to Motherboard, HE Inverter",Assembly,0,0,0,,107,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Qualitel,10-001229,DIODE SCHOTTKY 30V 2A SOD123W,Electrical Components,3636,3000,0.0522,CM On-Hand,108,0,0.0585,Gen 1 Only,CM Depletion,178,155,129,102,78,207,179,157,125,92,62,26,0
71,Lunar,10-001229,DIODE SCHOTTKY 30V 2A SOD123W,Electrical Components,0,0,0.0522,CM On-Hand,104892,9000,0.0585,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Celestica,10-004771,IC CURR SENSE 1 CIRCUIT SC70-5 AEC-Q,Electrical Components,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Lunar,10-004771,IC CURR SENSE 1 CIRCUIT SC70-5 AEC-Q,Electrical Components,0,0,0,,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Sienna,10-003839,"SEMS Screw, M3x0.5x5,ConicalLockingWasher,BHT,Cl8.8,Zn",Part,2925,0,0.044,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Lunar,10-003839,"SEMS Screw, M3x0.5x5,ConicalLockingWasher,BHT,Cl8.8,Zn",Part,0,0,0.044,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Sienna,10-004072,"Bus Bar, Ground to Enclosure, Bridge",Part,2968,600,0.86,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,2681,2599,2315,2031,2264,1980,1722,1464,1206,862,432,0,0
77,Lunar,10-004072,"Bus Bar, Ground to Enclosure, Bridge",Part,0,0,0.86,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Sienna,10-005899,Module Industrial ESim MFF2 MultiSIM-M2M 4.2.1 5x6mm,Electrical Components,2524,1482,0,,0,0,1.5,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Lunar,10-005899,Module Industrial ESim MFF2 MultiSIM-M2M 4.2.1 5x6mm,Electrical Components,0,0,0,,0,750,1.5,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Sienna,10-000855,CRYSTAL 32.768KHZ 9PF SMD AEC-Q,Electrical Components,4090,9000,0.39554327172223186,CM On-Hand,3000,0,0.424,Gen 1 Only,CM Depletion,1971,3546,3969,3181,2501,1879,1299,816,601,398,173,0,0
81,Qualitel,10-000855,CRYSTAL 32.768KHZ 9PF SMD AEC-Q,Electrical Components,19066,0,0.39554327172223186,CM On-Hand,0,0,0.424,Gen 1 Only,CM Depletion,7548,7020,6580,6127,5727,5483,5276,5103,4862,4615,4388,4114,3874
82,Lunar,10-000855,CRYSTAL 32.768KHZ 9PF SMD AEC-Q,Electrical Components,0,0,0.39554327172223186,CM On-Hand,0,0,0.424,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Lunar,10-07539D,"Enclosure, Bottom, Maximizer 2",Assembly,0,0,0,,100,20650,23.49,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Sienna,10-003493,RES 100 OHM 1% 1/4W 1206 AEC-Q,Electrical Components,9282,0,0.0033,CM On-Hand,0,0,0,Active in Both,CM Depletion,32,31,30,29,28,27,26,25,24,22,20,18,16
85,Qualitel,10-003493,RES 100 OHM 1% 1/4W 1206 AEC-Q,Electrical Components,23389,65000,0.0033,CM On-Hand,0,0,0,Active in Both,CM Depletion,71,56,39,22,13,226,226,226,226,226,226,226,226
86,Lunar,10-003493,RES 100 OHM 1% 1/4W 1206 AEC-Q,Electrical Components,0,0,0.0033,CM On-Hand,0,0,0,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Celestica,10-004162,RES SMD 20 OHM 1% 1/4W 1206 AEC-Q200,Electrical Components,0,0,0.0035,CM On-Hand,0,0,0.00813,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Lunar,10-004162,RES SMD 20 OHM 1% 1/4W 1206 AEC-Q200,Electrical Components,0,0,0.0035,CM On-Hand,0,500000,0.00813,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Qualitel,10-004162,RES SMD 20 OHM 1% 1/4W 1206 AEC-Q200,Electrical Components,46180,70000,0.0035,CM On-Hand,0,0,0.00813,Active in Both,CM Depletion,148,116,326,290,270,267,267,267,267,267,267,267,267
90,Lunar,10-006406,RES 100K OHM 1% 1/16W 0402,Electrical Components,0,0,0,,94850,90000,0.001,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Sienna,10-004362,RES SMD 1K OHM 1% 1/2W 0805 AEC-Q,Electrical Components,12176,5000,0.01599586226542748,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,214,146,82,96,40,0,0,0,0,0,0,0,0
92,Qualitel,10-004362,RES SMD 1K OHM 1% 1/2W 0805 AEC-Q,Electrical Components,15907,0,0.01599586226542748,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,264,228,204,179,157,153,153,153,153,153,153,153,153
93,Lunar,10-004362,RES SMD 1K OHM 1% 1/2W 0805 AEC-Q,Electrical Components,0,0,0.01599586226542748,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Celestica,10-004509,Battery Aesthetic Cover Front Lunar Blue,Part,0,0,0,,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Lunar,10-004509,Battery Aesthetic Cover Front Lunar Blue,Part,0,0,0,,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Sienna,10-005348,"RCD Adapter, Inverter",Part,268,0,2,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Lunar,10-005348,"RCD Adapter, Inverter",Part,0,0,2,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Qualitel,10-001719,CAP CER 0.22UF 50V X7R 0603 AEC-Q,Electrical Components,50595,16000,0.0158,CM On-Hand,25285,0,0.02128243157396438,Active in Both,CM Depletion,708,488,254,7,0,0,0,0,0,0,0,0,0
99,Lunar,10-001719,CAP CER 0.22UF 50V X7R 0603 AEC-Q,Electrical Components,0,0,0.0158,CM On-Hand,382418,0,0.02128243157396438,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Celestica,10-001719,CAP CER 0.22UF 50V X7R 0603 AEC-Q,Electrical Components,0,0,0.0158,CM On-Hand,0,0,0.02128243157396438,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Qualitel,10-06915A,"Plug, Conduit, Sealing, Stepped, 1/2""",Part,1319,3100,0.375,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,495,1170,1020,832,645,832,645,457,270,45,0,0,0
102,Lunar,10-06915A,"Plug, Conduit, Sealing, Stepped, 1/2""",Part,0,0,0.375,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Sienna,10-002027,"Thread Forming Screw, M2.5 X 5mm, Torx",Part,380570,0,0.005,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Lunar,10-002027,"Thread Forming Screw, M2.5 X 5mm, Torx",Part,0,0,0.005,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Sienna,10-003601,"Label, MAC Address, Bridge",Part,5840,4000,0.1,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,593,584,951,918,885,852,822,792,762,722,672,612,551
106,Lunar,10-003601,"Label, MAC Address, Bridge",Part,0,0,0.1,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Lunar,10-006412,RES SMD 12K OHM 1% 1/16W 0402,Electrical Components,0,0,0,,10000,0,0.001,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Lunar,10-08114A,"Lunar 3 Inverter Enclosure, Rear Grill Weldment, DVT1",Assembly,0,0,0,,1,119,15.33,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Lunar,10-005220_old,,,0,0,0,,1,0,72.84,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Lunar,10-006789,RES SMD 33K OHM 0.1% 1/10W 0603,Electrical Components,0,0,0,,21,5021,0.0229,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Sienna,10-003701,"Inductor, Common Mode Choke, Through Hole, Integrated Heat Conduction Bridge, Machined / 3D print",Electrical Components,10518,5950,18.661950585175553,CM On-Hand,0,0,17.78048780487805,Gen 1 Only,CM Depletion,217374,169898,180629,171410,131772,96893,83307,56434,52515,52515,52515,52515,52515
112,Qualitel,10-003701,"Inductor, Common Mode Choke, Through Hole, Integrated Heat Conduction Bridge, Machined / 3D print",Electrical Components,3324,1124,18.661950585175553,CM On-Hand,0,0,17.78048780487805,Gen 1 Only,CM Depletion,64066,57777,61360,55538,50406,49678,49678,49678,49678,49678,53411,53411,53411
113,Lunar,10-003701,"Inductor, Common Mode Choke, Through Hole, Integrated Heat Conduction Bridge, Machined / 3D print",Electrical Components,0,0,18.661950585175553,CM On-Hand,0,82,17.78048780487805,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Qualitel,10-06546A,IC BUF NON-INVERT 5.5V SC-70-5,Electrical Components,7030,9000,0.02,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,132,114,94,74,55,94,73,55,31,6,0,0,0
115,Lunar,10-06546A,IC BUF NON-INVERT 5.5V SC-70-5,Electrical Components,0,0,0.02,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Sienna,10-001269,"Mounting Bracket, Maximizer",Part,25803,55200,0.94,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,26818,63065,48777,34489,20389,6289,6289,6289,6289,6289,6289,6289,6289
117,Lunar,10-001269,"Mounting Bracket, Maximizer",Part,0,0,0.94,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Lunar,10-006953,"LED SMD 5050 W/ 6 PINS, Discrete Red, Green, Blue (RGB) ADDRESSABLE 5.36mmL x 5.00mmW",Electrical Components,0,0,0,,300,700,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Qualitel,10-06720A,CONN HEADER SMD 6POS MALE 1.27MM,Electrical Components,1579,3500,0.215,CM On-Hand,0,0,0,Active in Both,CM Depletion,291,412,306,194,95,516,404,310,179,45,0,0,0
120,Lunar,10-06720A,CONN HEADER SMD 6POS MALE 1.27MM,Electrical Components,0,0,0.215,CM On-Hand,0,0,0,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Sienna,10-002331,RES 2.49K OHM 1% 1/8W 0603 AEC-Q,Electrical Components,7948,0,0.005,CM On-Hand,0,0,0.013,Active in Both,CM Depletion,42,38,34,31,28,27,27,27,27,27,27,27,27
122,Lunar,10-002331,RES 2.49K OHM 1% 1/8W 0603 AEC-Q,Electrical Components,0,0,0.005,CM On-Hand,0,1400,0.013,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Lunar,10-08105A,0,0,0,0,0,,0,100,2.36,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Lunar,10-000995,0,0,0,0,0,,0,10000,0.0015,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
