,cm,part,description,item_category,cm_on_hand,cm_on_order,cm_unit_price,cm_price_source,lunar_on_hand_alloc,lunar_on_order_alloc,lunar_unit_price,obsolescence_state,projection_type,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07
3592,Lunar,90-06801A,"Bridge, Type B, Boxed, Lunar Blue",Top Level Assembly,0,0,0,,1262,551,838.520117274168,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3593,Lunar,90-07095A,"Smart Breaker, 50A, Boxed",Top Level Assembly,0,0,0,,163,0,98.1,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3594,Sienna,10-000639,DIODE SBR 40V 3A SMA,Electrical Components,13865,5200,0.062396789297658864,CM On-Hand,5200,0,0.07037001608765599,Active in Both,CM Depletion,926,800,804,805,772,674,583,507,473,441,405,362,324
3595,Qualitel,10-000639,DIODE SBR 40V 3A SMA,Electrical Components,8560,0,0.062396789297658864,CM On-Hand,0,0,0.07037001608765599,Active in Both,CM Depletion,548,493,455,416,381,377,377,377,377,377,377,377,377
3596,Lunar,10-000639,DIODE SBR 40V 3A SMA,Electrical Components,0,0,0.062396789297658864,CM On-Hand,224790,0,0.07037001608765599,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3597,Lunar,30-005029,"PCBA 1, Interface, Bridge, Type A",PCBA,0,0,0,,1,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3598,Lunar,10-006835,SWITCH TACTILE SPST-NO 0.02A 15V 4.70mm x 3.50mm,Electrical Components,0,0,0,,120,930,0.7386,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3599,Lunar,10-001070,CAP ALUM 10UF 20% 50V RADIAL,Electrical Components,0,0,0,,27988,0,0.0337,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3600,Sienna,10-002227,"Nut, M3, Hex, SS",Part,115486,0,0.011,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3601,Lunar,10-002227,"Nut, M3, Hex, SS",Part,0,0,0.011,CM On-Hand,0,0,0,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3602,Sienna,10-002595,"Cavity Blanking Plug, PBT, Yellow, -40 – 125 °C, Ampseal 16, TE",Part,17821,3597,0.19999999999999998,CM On-Hand,0,0,0.3009,Gen 1 Only,CM Depletion,3756,3372,2732,2811,2181,1565,1125,685,245,245,245,245,245
3603,Lunar,10-002595,"Cavity Blanking Plug, PBT, Yellow, -40 – 125 °C, Ampseal 16, TE",Part,0,0,0.19999999999999998,CM On-Hand,1502,0,0.3009,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3604,Sienna,10-001409,CONN HEADER SMD 6POS 2.5MM,Electrical Components,5061,0,0.8680000000000001,CM On-Hand,0,0,0.8696,Active in Both,CM Depletion,4795,4514,4228,3929,3666,3381,3108,2882,2532,2087,1593,992,466
3605,Lunar,10-001409,CONN HEADER SMD 6POS 2.5MM,Electrical Components,0,0,0.8680000000000001,CM On-Hand,8700,3000,0.8696,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3606,Celestica,10-003274,CAP CER 10UF 100V X7S 10% 1210,Electrical Components,730,0,0.177495337184216,CM On-Hand,0,0,0.32189999999999996,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3607,Lunar,10-003274,CAP CER 10UF 100V X7S 10% 1210,Electrical Components,0,0,0.177495337184216,CM On-Hand,15274,291440,0.32189999999999996,Active in Both,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3608,Qualitel,10-003274,CAP CER 10UF 100V X7S 10% 1210,Electrical Components,56746,52000,0.177495337184216,CM On-Hand,15094,0,0.32189999999999996,Active in Both,CM Depletion,8709,6835,3323,0,0,0,0,0,0,0,0,0,0
3609,Qualitel,10-004006,0,0,0,105000,0.0007,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3610,Lunar,10-004006,0,0,0,0,0.0007,CM On-Order,0,0,0,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3611,Lunar,10-001667,DIODE ZENER 62V 590MW SOD123,Electrical Components,0,0,0,,86704,40000,0.018897910131020483,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3612,Sienna,10-00522D,"Maximizer, Potted Assembly, Type D",Part,1529,0,0,,0,0,85.94709974528783,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3613,Lunar,10-00522D,"Maximizer, Potted Assembly, Type D",Part,0,0,0,,3926,10740,85.94709974528783,Obsolete,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3614,Sienna,10-005282,"Insulator Sheet, Power Board, Lower Level, Integrated TIM and PSA",Part,4253,1750,1.43,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,6232,8048,6904,5760,4633,3532,2746,1959,1173,1173,1173,1173,1173
3615,Lunar,10-005282,"Insulator Sheet, Power Board, Lower Level, Integrated TIM and PSA",Part,0,0,1.43,CM On-Hand,0,0,0,Gen 1 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
3616,Lunar,10-006903,RES 0.5 MILLIOHM 1% 1W 0612,Electrical Components,0,0,0,,10000,36000,0.184,Gen 2 Only,CM Depletion,0,0,0,0,0,0,0,0,0,0,0,0,0
