product_lpn,period_start,qty
90-06831E,2027-06-01,0
90-06831E,2027-07-01,0
90-06831E,2027-08-01,0
90-06831E,2027-09-01,0
90-06831E,2027-10-01,0
90-06831E,2027-11-01,0
90-06831E,2027-12-01,0
90-06889C,2026-09-01,800
90-06889C,2026-09-01,0
90-06889C,2026-10-01,800
90-06889C,2026-10-01,0
90-06889C,2026-11-01,800
90-06889C,2026-11-01,0
90-06889C,2026-12-01,770
90-06889C,2026-12-01,0
90-06889C,2027-01-01,650
90-06889C,2027-01-01,0
90-06889C,2027-02-01,650
90-06889C,2027-02-01,0
90-06889C,2027-03-01,650
90-06889C,2027-03-01,0
90-06889C,2027-04-01,0
90-06889C,2027-04-01,0
90-06889C,2027-05-01,0
90-06889C,2027-05-01,0
90-06889C,2027-06-01,0
90-06889C,2027-06-01,0
90-06889C,2027-07-01,0
90-06889C,2027-07-01,0
90-06889C,2027-08-01,0
90-06889C,2027-08-01,0
90-06889C,2027-09-01,0
90-06889C,2027-09-01,0
90-06889C,2027-10-01,0
90-06889C,2027-10-01,0
90-06889C,2027-11-01,0
90-06889C,2027-11-01,0
90-06889C,2027-12-01,0
90-06889C,2027-12-01,0
90-06948B,2026-09-01,0
90-06948B,2026-10-01,0
90-06948B,2026-11-01,0
90-06948B,2026-12-01,0
90-06948B,2027-01-01,0
90-06948B,2027-02-01,0
90-06948B,2027-03-01,0
90-06948B,2027-04-01,0
90-06948B,2027-05-01,0
90-06948B,2027-06-01,0
90-06948B,2027-07-01,0
90-06948B,2027-08-01,0
90-06948B,2027-09-01,0
90-06948B,2027-10-01,0
90-06948B,2027-11-01,0
90-06948B,2027-12-01,0
90-06948C,2026-09-01,0
90-06948C,2026-10-01,0
90-06948C,2026-11-01,0
90-06948C,2026-12-01,0
90-06948C,2027-01-01,0
90-06948C,2027-02-01,0
90-06948C,2027-03-01,0
90-06948C,2027-04-01,0
90-06948C,2027-05-01,0
90-06948C,2027-06-01,0
90-06948C,2027-07-01,0
90-06948C,2027-08-01,0
90-06948C,2027-09-01,0
90-06948C,2027-10-01,0
90-06948C,2027-11-01,0
90-06948C,2027-12-01,0
90-07124A,2026-09-01,500
90-07124A,2026-10-01,500
90-07124A,2026-11-01,315
90-07124A,2026-12-01,230
90-07124A,2027-01-01,110
90-07124A,2027-02-01,110
90-07124A,2027-03-01,165
90-07124A,2027-04-01,0
90-07124A,2027-05-01,0
90-07124A,2027-06-01,0
90-07124A,2027-07-01,0
90-07124A,2027-08-01,0
90-07124A,2027-09-01,0
90-07124A,2027-10-01,0
90-07124A,2027-11-01,0
90-07124A,2027-12-01,0
90-07125A,2026-09-01,100
90-07125A,2026-10-01,200
90-07125A,2026-11-01,150
90-07125A,2026-12-01,90
90-07125A,2027-01-01,110
90-07125A,2027-02-01,110
90-07125A,2027-03-01,110
90-07125A,2027-04-01,0
90-07125A,2027-05-01,0
90-07125A,2027-06-01,0
90-07125A,2027-07-01,0
90-07125A,2027-08-01,0
90-07125A,2027-09-01,0
90-07125A,2027-10-01,0
90-07125A,2027-11-01,0
90-07125A,2027-12-01,0
90-07282A,2026-09-01,0
90-07282A,2026-10-01,0
90-07282A,2026-11-01,0
90-07282A,2026-12-01,0
90-07282A,2027-01-01,0
90-07282A,2027-02-01,0
90-07282A,2027-03-01,0
90-07282A,2027-04-01,0
90-07282A,2027-05-01,0
90-07282A,2027-06-01,0
90-07282A,2027-07-01,0
90-07282A,2027-08-01,0
90-07282A,2027-09-01,0
90-07282A,2027-10-01,0
90-07282A,2027-11-01,0
90-07282A,2027-12-01,0
90-07289A,2026-09-01,0
90-07289A,2026-10-01,0
90-07289A,2026-11-01,35
90-07289A,2026-12-01,50
90-07289A,2027-01-01,55
90-07289A,2027-02-01,55
90-07289A,2027-03-01,0
90-07289A,2027-04-01,0
90-07289A,2027-05-01,0
90-07289A,2027-06-01,0
90-07289A,2027-07-01,0
90-07289A,2027-08-01,0
90-07289A,2027-09-01,0
90-07289A,2027-10-01,0
90-07289A,2027-11-01,0
90-07289A,2027-12-01,0
90-07290A,2026-09-01,95
90-07290A,2026-10-01,0
90-07290A,2026-11-01,250
90-07290A,2026-12-01,387
90-07290A,2027-01-01,275
90-07290A,2027-02-01,275
90-07290A,2027-03-01,275
90-07290A,2027-04-01,0
90-07290A,2027-05-01,0
90-07290A,2027-06-01,0
90-07290A,2027-07-01,0
90-07290A,2027-08-01,0
90-07290A,2027-09-01,0
90-07290A,2027-10-01,0
90-07290A,2027-11-01,0
90-07290A,2027-12-01,0
90-07535A,2026-09-01,0
90-07535A,2026-09-01,0
