Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-18-2026,CM: Sienna GA,10-001527 REV-09,10-001527,"MC4 Pigtail, Male, 1250mm",Part,MTS,ATLN,RQ33,FALSE,Sienna Corporation,3000,0,1.94,5820,0,9,Unrestricted,3000
08-18-2026,CM: Sienna GA,10-001527 REV-09,10-001527,"MC4 Pigtail, Male, 1250mm",Part,MTS,ATLN,RIQC,FALSE,Sienna Corporation,5000,0,1.94,9700,0,9,Unrestricted,5000
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,RK25,FALSE,Sienna Corporation,3000,0,1.97,5910,0,8,Unrestricted,3000
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,RQ13,FALSE,Sienna Corporation,3000,0,1.97,5910,0,8,Unrestricted,3000
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,RJ13,FALSE,Sienna Corporation,3000,0,1.97,5910,0,8,Unrestricted,3000
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,RJ63,FALSE,Sienna Corporation,3000,0,1.97,5910,0,8,Unrestricted,3000
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,LINE,FALSE,Sienna Corporation,5098,0,1.97,10043.06,0,8,Unrestricted,5098
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,RIQC,FALSE,Sienna Corporation,7000,0,1.97,13790,0,8,Unrestricted,7000
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,RQ36,FALSE,Sienna Corporation,3000,0,1.97,5910,0,8,Unrestricted,3000
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,RL56,FALSE,Sienna Corporation,3000,0,1.97,5910,0,8,Unrestricted,3000
08-18-2026,CM: Sienna GA,10-001528 REV-08,10-001528,"MC4 Pigtail, Female, 1250mm",Part,MTS,ATLN,RQ34,FALSE,Sienna Corporation,1000,0,1.97,1970,0,8,Unrestricted,1000
08-18-2026,Lunar Netsuite,10-001535,10-001535,CAP CER 0.1UF 25V X7R 0603,Electrical Components,OTS,CCL (Computer Components Ltd),NS,FALSE,Lunar Energy,12000,0,0.0173,207.6,0,0,Unrestricted,12000
08-18-2026,CM: Sienna GA,10-001545 REV-01,10-001545,RES 499 OHM 1% 1/10W 0603 AEC-Q,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,3220,0,0.0017,5.474,0,1,Unrestricted,3220
08-18-2026,CM: Qualitel WA,814L-10-001548,10-001548,RES 0 OHM JUMPER 1/10W 0603,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,27114,0,0.0007,18.9798,0,0,Unrestricted,27114
08-18-2026,Lunar Netsuite,10-001548,10-001548,RES 0 OHM JUMPER 1/10W 0603,Electrical Components,OTS,NexGen Digital Inc,NS,FALSE,Lunar Energy,1150000,0,0.0013,1495,0,0,Unrestricted,1150000
08-18-2026,CM: Sienna GA,10-001548 REV-01,10-001548,RES 0 OHM JUMPER 1/10W 0603,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,229067,0,0.0013,297.7871,0,1,Unrestricted,229067
08-18-2026,Lunar Netsuite,10-001548,10-001548,RES 0 OHM JUMPER 1/10W 0603,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,1010000,0,0.0013,1313,0,0,Unrestricted,820000
08-18-2026,CM: Sienna GA,10-001548 REV-01,10-001548,RES 0 OHM JUMPER 1/10W 0603,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,78280,0,0.0013,101.764,0,1,Unrestricted,78280
08-18-2026,CM: Qualitel WA,814L-10-001560,10-001560,WL-SMCW SMT MONO-COLOR CHIP LED,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,13855,0,0.072,997.56,0,0,Unrestricted,13855
08-18-2026,Lunar Netsuite,10-001560,10-001560,WL-SMCW SMT MONO-COLOR CHIP LED,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,20000,0,0.072,1440,0,0,Unrestricted,14000
08-18-2026,CM: Sienna GA,10-001560 REV-01,10-001560,WL-SMCW SMT MONO-COLOR CHIP LED,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,3177,0,0.072,228.744,0,1,Unrestricted,3177
08-18-2026,Lunar Netsuite,10-001560,10-001560,WL-SMCW SMT MONO-COLOR CHIP LED,Electrical Components,OTS,CCL (Computer Components Ltd),NS,FALSE,Lunar Energy,295600,0,0.072,21283.2,0,0,Unrestricted,295600
08-18-2026,CM: Sienna GA,10-001560 REV-01,10-001560,WL-SMCW SMT MONO-COLOR CHIP LED,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,12000,0,0.072,864,0,1,Unrestricted,12000
08-18-2026,Lunar Netsuite,10-001563,10-001563,RES SMD 39K OHM 5% 2W 2512,Electrical Components,OTS,CCL (Computer Components Ltd),NS,FALSE,Lunar Energy,16000,0,0.0997,1595.2,0,0,Unrestricted,16000
08-18-2026,CM: Qualitel WA,814L-10-001570,10-001570,RES 4.99K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,23066,0,0.0014,32.2924,0,0,Unrestricted,23066
08-18-2026,CM: Sienna GA,10-001570 REV-01,10-001570,RES 4.99K OHM 1% 1/10W 0603 AEC-Q,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,37900,0,0.0017,64.43,0,1,Unrestricted,37900
08-18-2026,CM: Sienna GA,10-001571 REV-01,10-001571,CAP CER 39PF 50V C0G/NP0 0603,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,68000,0,0.004,272,0,1,Unrestricted,68000
08-18-2026,CM: Sienna GA,10-001571 REV-01,10-001571,CAP CER 39PF 50V C0G/NP0 0603,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,6043,0,0.004,24.172,0,1,Unrestricted,6043
08-18-2026,CM: Sienna GA,10-001571 REV-01,10-001571,CAP CER 39PF 50V C0G/NP0 0603,Electrical Components,OTS,ATLN,PAMS,FALSE,Sienna Corporation,252000,0,0.004,1008,0,1,Unrestricted,252000
08-18-2026,CM: Sienna GA,10-001572 REV-01,10-001572,RES 249K OHM 1% 1/10W 0603,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,41851,0,0.0008,33.4808,0,1,Unrestricted,41851
08-18-2026,Lunar Netsuite,10-001572,10-001572,RES 249K OHM 1% 1/10W 0603,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,115000,0,0.0014,161,0,0,Unrestricted,115000
08-18-2026,Lunar Netsuite,10-001572,10-001572,RES 249K OHM 1% 1/10W 0603,Electrical Components,OTS,NexGen Digital Inc,NS,FALSE,Lunar Energy,244452,0,0.0014,342.2328,0,0,Unrestricted,244452
08-18-2026,CM: Sienna GA,10-001572 REV-01,10-001572,RES 249K OHM 1% 1/10W 0603,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,150000,0,0.0008,120,0,1,Unrestricted,150000
08-18-2026,Lunar Netsuite,10-001573,10-001573,RES 634K OHM 1% 1/10W 0603,Electrical Components,OTS,CCL (Computer Components Ltd),NS,FALSE,Lunar Energy,344723,0,0.0014,482.6122,0,0,Unrestricted,344723
08-18-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,RI45,FALSE,Sienna Corporation,3360,0,10.86,36489.6,0,1,Unrestricted,3360
08-18-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,RI25,FALSE,Sienna Corporation,1561,0,10.86,16952.46,0,1,Unrestricted,1561
08-18-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,MRB,FALSE,Sienna Corporation,0,16,10.86,0,173.76,1,Restricted,0
08-18-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1044,0,10.86,11337.84,0,1,Unrestricted,1044
08-18-2026,CM: Sienna GA,10-001578 REV-1,10-001578,CONN 4P COAX HDR ASSY 180DEG COD A SHORT,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,1440,0,10.86,15638.4,0,1,Unrestricted,1440
08-18-2026,Lunar Netsuite,10-001580,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,Sienna Corporation - GA,NS,FALSE,Lunar Energy,2500,0,1.25,3125,0,0,Unrestricted,0
08-18-2026,CM: Celestica MX,10-0015803MS,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,Monterrey Prod,1000,FALSE,Celestica,3,0,2.37,7.11,0,0,Unrestricted,3
08-18-2026,CM: Qualitel WA,814L-10-001580,10-001580,IC CURRENT SENSOR 8TISON AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,16018,0,1.25,20022.5,0,0,Unrestricted,16018
