Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
08-25-2026,CM: Sienna GA,C10-002500 REV-1,10-002500,RES 4.32K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,WR33,TRUE,Lunar Energy,10000,0,0,0,0,1,Unrestricted,10000
08-25-2026,Lunar Netsuite,10-002500,10-002500,RES 4.32K OHM 1% 1/16W 0402,Electrical Components,OTS,Sienna Corporation - GA,NS,FALSE,Lunar Energy,10000,0,0.001,10,0,0,Unrestricted,0
08-25-2026,CM: Sienna GA,10-002500 REV-1,10-002500,RES 4.32K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,14604,0,0.001,14.604,0,1,Unrestricted,14604
08-25-2026,CM: Qualitel WA,814L-10-002501,10-002501,"10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200",Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,250,0,0.02,5,0,0,Unrestricted,250
08-25-2026,CM: Sienna GA,10-002502 REV-1,10-002502,RES 1.91K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,10000,0,0.0012,12,0,1,Unrestricted,10000
08-25-2026,CM: Sienna GA,10-002502 REV-1,10-002502,RES 1.91K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1751,0,0.0012,2.1012,0,1,Unrestricted,1751
08-25-2026,Lunar Netsuite,10-002502,10-002502,RES 1.91K OHM 1% 1/16W 0402,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,20000,0,0.0012,24,0,0,Unrestricted,20000
08-25-2026,CM: Sienna GA,10-002503 REV-1,10-002503,RES 6.49K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,20000,0,0.0009,18,0,1,Unrestricted,20000
08-25-2026,CM: Sienna GA,10-002503 REV-1,10-002503,RES 6.49K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,10000,0,0.0009,9,0,1,Unrestricted,10000
08-25-2026,CM: Sienna GA,10-002503 REV-1,10-002503,RES 6.49K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,2676,0,0.0009,2.4084,0,1,Unrestricted,2676
08-25-2026,Lunar Netsuite,10-002503,10-002503,RES 6.49K OHM 1% 1/16W 0402,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,40000,0,0.0009,36,0,0,Unrestricted,40000
08-25-2026,CM: Sienna GA,10-002504 REV-1,10-002504,RES 44.2K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,10000,0,0.0012,12,0,1,Unrestricted,10000
08-25-2026,Lunar Netsuite,10-002504,10-002504,RES 44.2K OHM 1% 1/16W 0402,Electrical Components,OTS,NexGen Digital Inc,NS,FALSE,Lunar Energy,1700000,0,0.0012,2040,0,0,Unrestricted,1700000
08-25-2026,Lunar Netsuite,10-002504,10-002504,RES 44.2K OHM 1% 1/16W 0402,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,20000,0,0.0012,24,0,0,Unrestricted,20000
08-25-2026,CM: Sienna GA,10-002504 REV-1,10-002504,RES 44.2K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1777,0,0.0012,2.1324,0,1,Unrestricted,1777
08-25-2026,CM: Sienna GA,10-002505 REV-1,10-002505,RES 26.1K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,10000,0,0.0009,9,0,1,Unrestricted,10000
08-25-2026,CM: Sienna GA,10-002505 REV-1,10-002505,RES 26.1K OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1737,0,0.0009,1.5633,0,1,Unrestricted,1737
08-25-2026,Lunar Netsuite,10-002505,10-002505,RES 26.1K OHM 1% 1/16W 0402,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,20000,0,0.0009,18,0,0,Unrestricted,20000
08-25-2026,CM: Sienna GA,10-002506 REV-1,10-002506,IC DRAM 4GBIT PARALLEL 96FBGA,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,1254,0,6.498,8148.492,0,1,Unrestricted,1254
08-25-2026,CM: Sienna GA,10-002506 REV-1,10-002506,IC DRAM 4GBIT PARALLEL 96FBGA,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,202,0,6.498,1312.596,0,1,Unrestricted,202
08-25-2026,Lunar Netsuite,10-002507,10-002507,RES 240 OHM 1% 1/16W 0402,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,10000,0,0.001,10,0,0,Unrestricted,10000
08-25-2026,CM: Sienna GA,C10-002507 REV-1,10-002507,RES 240 OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,WR33,TRUE,Lunar Energy,10000,0,0,0,0,1,Unrestricted,10000
08-25-2026,CM: Qualitel WA,814L-10-002507,10-002507,RES 240 OHM 1% 1/16W 0402,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,7012,0,0.0008,5.6096,0,0,Unrestricted,7012
08-25-2026,CM: Sienna GA,10-002507 REV-1,10-002507,RES 240 OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1768,0,0.0009,1.5912,0,1,Unrestricted,1768
08-25-2026,Lunar Netsuite,10-002507,10-002507,RES 240 OHM 1% 1/16W 0402,Electrical Components,OTS,Sienna Corporation - GA,NS,FALSE,Lunar Energy,10000,0,0.001,10,0,0,Unrestricted,0
08-25-2026,CM: Sienna GA,10-002507 REV-1,10-002507,RES 240 OHM 1% 1/16W 0402,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,10000,0,0.0009,9,0,1,Unrestricted,10000
08-25-2026,CM: Sienna GA,10-002508 REV-1,10-002508,SWITCH TACTILE SPST-NO 0.05A 32V,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,7600,0,0.259,1968.4,0,1,Unrestricted,7600
08-25-2026,CM: Sienna GA,10-002508 REV-1,10-002508,SWITCH TACTILE SPST-NO 0.05A 32V,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,3831,0,0.259,992.229,0,1,Unrestricted,3831
08-25-2026,Lunar Netsuite,10-002513,10-002513,"Fuse,Class T,200 A",Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,1500,0,29.91,44865,0,0,Unrestricted,1500
08-25-2026,CM: Sienna GA,10-002529 REV-1,10-002529,FERRITE BEAD 220 OHM 1206 1LN,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,867,0,0.0574,49.7658,0,1,Unrestricted,867
08-25-2026,Lunar Netsuite,10-002529,10-002529,FERRITE BEAD 220 OHM 1206 1LN,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,8000,0,0.0574,459.2,0,0,Unrestricted,6000
08-25-2026,CM: Sienna GA,10-002529 REV-1,10-002529,FERRITE BEAD 220 OHM 1206 1LN,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,2000,0,0.0574,114.8,0,1,Unrestricted,2000
08-25-2026,CM: Sienna GA,10-002532 REV-01,10-002532,CAP CER 0.1UF 10V X7S 0201,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,238133,0,0.0047,1119.2251,0,1,Unrestricted,238133
08-25-2026,CM: Sienna GA,10-002532 REV-01,10-002532,CAP CER 0.1UF 10V X7S 0201,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,45000,0,0.0047,211.5,0,1,Unrestricted,45000
08-25-2026,CM: Sienna GA,10-002548 REV-01,10-002548,"Nano-Fit Terminal Position Assurance (TPA) Retainer, 2.50mm Pitch, 3 Circuits, Natural",Part,OTS,ATLN,RIQC,FALSE,Sienna Corporation,625,0,0.05,31.25,0,1,Unrestricted,625
08-25-2026,CM: Sienna GA,10-002548 REV-01,10-002548,"Nano-Fit Terminal Position Assurance (TPA) Retainer, 2.50mm Pitch, 3 Circuits, Natural",Part,OTS,ATLN,LINE,FALSE,Sienna Corporation,528,0,0.05,26.4,0,1,Unrestricted,528
