part,description,source,source_report,rows,extended_value
10-08536A,"IND CMC 660UH 50A 3LN THROUGH HOLE 2.480""L X 1.772""W (63.00MM X 45.00MM)",onorder,Lunar Netsuite,1,17357.76
90-07093A,"Smart Breaker, 30A, Boxed",onhand,Lunar Netsuite,6,17265.6
90-07091A,"Smart Breaker, 15A, Boxed",onhand,Lunar Netsuite,4,16971.3
10-005203,Battery Block,onhand,Lunar Netsuite,2,16900.3504
90-07095A,"Smart Breaker, 50A, Boxed",onhand,Lunar Netsuite,5,16873.2
10-002986,"Fan,DC-DC,Jacketed Leads",onhand,Lunar Netsuite,1,16758.0
10-003406,CAP CER 0.5UF 700V SMD AEC-Q,onhand,CM: Sienna GA,2,16356.48
90-07679A,LFP Battery Cover,onorder,Lunar Netsuite,1,15862.88
30-06909C,Gen 2 Inverter - Home Controller 2 - PCBA,onorder,Lunar Netsuite,1,15395.500000000002
90-07187A,"Lifting Tool, LFP Battery Block",onorder,Lunar Netsuite,1,15084.0
90-07092A,"Smart Breaker, 20A, Boxed",onhand,Lunar Netsuite,6,13832.099999999999
10-003852,CONN MICRO SIM CARD PUSH-PULL,onhand,Lunar Netsuite,1,13800.0
10-07814A,"Wall Bracket, Battery Block, HE",onorder,Lunar Netsuite,2,13594.14
10-005220,"Maximizer, Potted Assembly, Type C",onhand,Lunar Netsuite,3,13308.8313
90-001221,"Bridge, Boxed, Lunar Blue",onhand,Lunar Netsuite,3,12370.92
10-003358,CAP FILM 0.22UF 10% 1KVDC RADIAL,onhand,Lunar Netsuite,2,12074.006
10-06527A,"Lithium Ion Cell,S004a,Untrimmed,HU",onhand,Lunar Netsuite,1,11661.4531
10-005362,SENSOR CURRENT FLUX 300MA AC/DC,onhand,Lunar Netsuite,1,11599.5135
10-07481A,"Assy, Battery Cover, Gen 2",onorder,Lunar Netsuite,1,11359.199999999999
10-002759,RES SMD 25 OHM 2% 3.5W 2512,onhand,Lunar Netsuite,1,11200.0
10-001748,RES 100K OHM 1% 1/2W 1210,onhand,Lunar Netsuite,2,10933.034
10-004175,IC TRNSLTR BIDIRECTIONAL 20TSSOP,onhand,Lunar Netsuite,1,10400.0
10-005154,"Power PCBA with Conformal Coat, Inverter, D",onhand,CM: Sienna GA,1,10297.56
10-001685,RES SMD 845K OHM 1% 1/4W 1206,onhand,Lunar Netsuite,2,10226.6286
10-06952A,"Module Assy with Enclosure, LFP DC ESS",onhand,Lunar Netsuite,2,10135.68
10-003440,RES SMD 2M OHM 1% 1/4W 1206,onhand,Lunar Netsuite,1,10125.0
10-07067B,"AC Filter Inductor, HE Inverter",onhand,Lunar Netsuite,1,10108.3
10-004117,FIXED IND 1UH 69A 0.89 MOHM SMD,onhand,CM: Sienna GA,1,10010.92
10-001046,CAP ALUM 150UF 20% 35V RADIAL,onhand,Lunar Netsuite,2,9840.0
10-004191,"Thermal gap filler, Non-Curing, 6 W/mK, Dispensed",onhand,CM: Qualitel WA,3,9647.969168
10-08503A,"Front Panel Gasket, Inverter, Gen 2",onorder,Lunar Netsuite,1,9600.0
10-001163,RES SMD 2 OHM 5% 1/4W 0603 AEC-Q,onhand,Lunar Netsuite,2,9194.5
10-001984,SWITCH SLIDE DPDT 200MA 12V,onhand,Lunar Netsuite,1,9033.5
90-06948B,"LFP DC ESS With Cover and Brackets, Boxed, Lunar Blue",onhand,Lunar Netsuite,2,8984.5
10-004591,SURGE SUPP TBU 200MA 850VIMP SMD,onhand,Lunar Netsuite,1,8880.0
10-001398,CONN HEADER SMD R/A 4POS 3MM,onhand,Lunar Netsuite,1,8858.0
90-002878,"Maximizer, Boxed, Box of 20",onhand,CM: Sienna GA,1,8822.1
10-000587,S2-LP is a 900 MHz RF radio,onhand,CM: Qualitel WA,1,8503.74
10-006328,RELAY DIRECT CURRENT 60AMP SWITCH VOLTAGE 1000VDC 24V CONTACT -40℃～85℃ 50L x 39.8W X 37MM,onhand,Lunar Netsuite,1,8422.48
10-004596,CAP CER 2220 2.2NF 3000V X7R 10% AEC-Q,onhand,CM: Sienna GA,2,8092.1
10-000844,"Connector, 16 Contact, 2 Row, Male, Straight, SMT",onorder,Lunar Netsuite,2,7980.0
10-000844,"Connector, 16 Contact, 2 Row, Male, Straight, SMT",onhand,Lunar Netsuite,2,7913.5
20-06815C,Lunar 3 Inverter PCB,onorder,Lunar Netsuite,1,7898.400000000001
10-002702,RES SMD 7.5 OHM 1% 1/2W 1206,onhand,Lunar Netsuite,1,7740.0
10-000587,S2-LP is a 900 MHz RF radio,onhand,CM: Sienna GA,1,7680.3297
10-002767,"HOUSED PTC THERMISTORS AS ICL, 2 AEC-Q",onorder,Lunar Netsuite,2,7440.0
90-06823A,"15kWh Hardware Kit, Lunar Blue",onhand,Lunar Netsuite,3,7235.709999999999
10-002614,IC TRANSCEIVER HALF 1/1 8SOIC,onhand,Lunar Netsuite,2,6860.8169
10-002002,CAP CER 10UF 50V X7S 1210,onhand,Lunar Netsuite,1,6854.0
10-005216,"MOSFET OptiMOSTM6Power-Transistor,80V PG-TDSON-8 FL",onhand,CM: Sienna GA,1,6250.0
10-004609,"DC CMC, 3 Phase, 4 Turns",onhand,CM: Sienna GA,3,6227.900000000001
10-000697,"Parallel - Fundamental Quartz Crystal, 0.032768MHz Nom",onorder,Lunar Netsuite,1,6120.0
10-002701,CAP CER 270PF 3KV C0G/NP0 2225,onhand,CM: Sienna GA,1,6068.7
10-003060,CAP CER 100UF 6.3V X7S 1210,onhand,Lunar Netsuite,1,6040.0
10-000586,860 to 930 MHz High-Power RF Front-End Module,onhand,CM: Qualitel WA,1,5743.87
10-002908,MOSFET P-CH 60V 300MA SOT23-3,onhand,Lunar Netsuite,1,5687.0244
10-002272,"DC-DC ISOLATED 1.5KV, 1 W, 21.6~",onhand,CM: Sienna GA,3,5505.6
10-002005,CAP CER 4700PF 400VAC Y5U RADIAL,onhand,Lunar Netsuite,1,5320.0
10-005512,"Sled, Filter Module",onhand,CM: Sienna GA,1,5271.2
10-005002,"CLOCK OSCILLATOR,2.0X1.6X0.8MM S",onhand,CM: Sienna GA,2,5100.836
10-006831,IC SDRAM DDR4 MEMORY 16Gbit 96-FBGA (9x13),onhand,Lunar Netsuite,1,5039.58
10-005382,"Packaging, ESS Hardware Kit 20kWh Lunar Blue",onhand,CM: Sienna GA,2,5023.9800000000005
10-000642,"Electric Fuse, Time Lag Blow, 2A, 65A (IR)",onhand,Lunar Netsuite,1,4945.6
10-001835,"FILM, RADIAL, METALLIZED POLYPRO",onorder,Lunar Netsuite,2,4920.0
10-001089,FIXED IND 2.2UH 9.3A 15MOHM SMD,onhand,Lunar Netsuite,1,4785.0
10-07176B,"Front Panel Gasket, Inverter, Gen 2",onorder,Lunar Netsuite,1,4700.0
10-006621,Module GLOBAL LTE CAT1BIS W/ GNSS 26.5mm x 22.5mm,onhand,Lunar Netsuite,1,4633.568
10-000224,Vertical Header,onhand,Lunar Netsuite,1,4575.144
10-001067,CAP ALUM 330UF 20% 25V RADIAL,onhand,Lunar Netsuite,1,4466.0
10-002019,"Lithium Ion Cell,S004a,Untrimmed",onhand,Lunar Netsuite,1,4428.1624
10-003682,RAIL-TO-RAIL INPUT PUSH-PULL OUT,onhand,Lunar Netsuite,1,4261.32
10-002160,CAP FILM 1UF 10% 305VAC RADIAL,onorder,Lunar Netsuite,2,4224.0
10-001975,IC EEPROM 1MBIT I2C 1MHZ 8TSSOP,onorder,Lunar Netsuite,1,4160.0
10-003772,"Clip, Wire Harness Pair, Maximizer",onhand,CM: Sienna GA,2,4082.2200000000003
10-000586,860 to 930 MHz High-Power RF Front-End Module,onhand,Lunar Netsuite,1,3919.5
10-004643,"Adhesive, Double-sided, Heat Sink, Maximizer",onhand,CM: Sienna GA,4,3875.76
20-005200,"Maximizer PCB, Type B",onhand,Lunar Netsuite,1,3869.9244
10-08132A,"bracket, rib, side panel, Press-Brake",onorder,Lunar Netsuite,1,3840.0
10-002249,"Wire Harness, Earth Ground Sense, Bridge",onhand,Lunar Netsuite,1,3750.0
10-001739,CAP CER 0.47UF 450V X7T 20% 1812,onhand,Lunar Netsuite,1,3672.0
10-003368,"Thermal Bridge, GaN, DCDC",onhand,Lunar Netsuite,2,3600.0
10-07240A,"SCREW, M5-0.8X12, PAN HD, T25, SEALING, STL+ZNNI",onhand,CM: Qualitel WA,3,3552.5723
10-08540A,IC 16-CHANNEL BATTERY PACK MONITORING SYSTEM 64-PIN QFN-SS AEC-Q100,onorder,Lunar Netsuite,1,3487.0
10-001429,CONN HEADER VERT 4POS 2.5MM,onhand,Lunar Netsuite,1,3456.0
10-002125,CAP CER 0.047UF 1KV X7S 2220,onhand,Lunar Netsuite,1,3418.5
10-08540A,IC 16-CHANNEL BATTERY PACK MONITORING SYSTEM 64-PIN QFN-SS AEC-Q100,onhand,Lunar Netsuite,1,3388.0
10-001915,IC OPAMP GP 2 CIRCUIT 8TSSOP,onhand,Lunar Netsuite,1,3384.0
30-07320G,Maximizer 2.0 PCBA,onhand,Lunar Netsuite,1,3372.84
10-001056,CAP ALUM 470UF 20% 25V RADIAL,onhand,Lunar Netsuite,2,3317.5
10-003755,DC DC CONVERTER 15V 2W,onhand,Lunar Netsuite,1,3263.7988
10-000586,860 to 930 MHz High-Power RF Front-End Module,onhand,CM: Sienna GA,1,3097.2
10-000845,"Connector, 6 Contact, 1 Row, Male, Straight, TH",onhand,Lunar Netsuite,1,3019.2
10-003533,TVS DIODE 58.1VWM 121VC SMC,onorder,Lunar Netsuite,2,2936.8500000000004
10-003503,CAP FILM 0.15UF 10% 800VDC RAD,onhand,Lunar Netsuite,1,2922.5
90-07187A,"Lifting Tool, LFP Battery Block",onhand,Lunar Netsuite,6,2796.967
10-07233A,IND FIXED 47UH Shielded 1.15A 274.3 MOHM 2424 (6060 Metric),onorder,Lunar Netsuite,1,2793.15
10-006898,"IND 10UH 21A 3.88 MOHM SMD (0.886"" L x 0.866"" W (22.50mm x 22.00mm))",onhand,Lunar Netsuite,1,2643.5
10-005002,"CLOCK OSCILLATOR,2.0X1.6X0.8MM S",onhand,CM: Qualitel WA,1,2612.0
10-004053,MOSFET P-CH 60V 300MA SOT23-3,onhand,Lunar Netsuite,1,2520.0
10-002276,IC BUFFER NON-INVERT 6V 20SOIC,onhand,Lunar Netsuite,2,2492.46
10-003440,RES SMD 2M OHM 1% 1/4W 1206,onorder,Lunar Netsuite,2,2430.0
10-003472,"Schottky Diode, Trench-based, 500 mA,30 V, 01005 (0402 Metric)",onhand,Lunar Netsuite,1,2357.439
10-003856,CONN HEADER VERT 3POS 2.5MM,onhand,Lunar Netsuite,2,2348.4
10-004481,IC TRANSLTR BIDIRECTIONAL 8TSSOP,onhand,Lunar Netsuite,1,2340.0
10-08101A,"Lunar 3 Front Cover Weldment, DVT1",onorder,Lunar Netsuite,3,2332.0
10-000613,CAP CER 1UF 25V X5R 0402,onhand,Lunar Netsuite,1,2322.702
10-004547,RES 5.1 OHM 1% 1/10W 0402 SMD AEC-Q,onhand,CM: Qualitel WA,1,2260.8342
10-002926,RES 1 OHM 1% 2W 2512,onhand,Lunar Netsuite,1,2240.0
10-003889,FIXED IND 33UH 30A 2.4 MOHM SMD,onhand,Lunar Netsuite,1,2220.4
10-08504A,IC 16-CHANNEL BATTERY PACK MONITORING SYSTEM 64-PIN QFN-SS AEC-Q100,onorder,Lunar Netsuite,1,2211.0
10-001096,IC MULTIPLEXER 4 X 2:1 16SSOP,onhand,Lunar Netsuite,1,2200.8732
10-002377,CAP CER 0.47UF 25V X5R 0402,onhand,Lunar Netsuite,1,2200.0
10-001646,Bridge Rectifier DBS 1KV 2A,onhand,Lunar Netsuite,1,2160.0
90-07117A,"Adapter for Lifting Tool, LFP Battery Block",onhand,Lunar Netsuite,2,2004.08
10-002497,IC TRANSCEIVER HALF 1/1 8SOIC,onorder,Lunar Netsuite,2,2004.0
