part,description,source,source_report,rows,extended_value
10-001686,RES SMD 1K OHM 5% 2/3W 1206,onorder,Lunar Netsuite,1,540.0
10-000563,"Ceramic Capacitor, Multilayer, Ceramic, 35V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.15uF, SMT AEC-Q,",onhand,CM: Sienna GA,2,537.6552
10-007028,BATTERY RETAINER COIN 20MM SMD,onorder,Lunar Netsuite,1,537.5
10-005348,"RCD Adapter, Inverter",onhand,CM: Sienna GA,1,536.0
10-000556,CAP CER 0.47UF 6.3V X7R 0402 AEC-Q,onhand,CM: Sienna GA,1,531.806
10-004555,CONN PCB TERMINAL BLOCK; 2.5 MM; PIN,onhand,Lunar Netsuite,1,510.432
10-002377,CAP CER 0.47UF 25V X5R 0402,onorder,Lunar Netsuite,1,500.0
10-001106,RES SMD 680 OHM 0.1% 1/16W 0402,onhand,Lunar Netsuite,1,495.0
10-002767,"HOUSED PTC THERMISTORS AS ICL, 2 AEC-Q",onhand,CM: Sienna GA,2,486.08
10-005572,"Enclosure with Holes, Plastic, Wiring Compartment, Inverter, D",onhand,CM: Sienna GA,2,485.09999999999997
10-001573,RES 634K OHM 1% 1/10W 0603,onhand,Lunar Netsuite,1,482.6122
10-000608,FUSE 3.0A 63VAC/DC SLOW 1206,onhand,Lunar Netsuite,1,482.5
10-003926,"Wire Harness,Inverter Exterior,Antenna Left",onhand,Lunar Netsuite,1,475.47
10-000578,"General Purpose Inductor, 0.0062uH, 2%, 1 Element, SMD AEC-Q",onhand,Lunar Netsuite,1,463.68
10-002905,IC REG LINEAR 3.3V 1A DPAK,onorder,Lunar Netsuite,1,462.5
10-07902A,"L1 Adapter ,Wall Bracket, Battery Block, HE",onorder,Lunar Netsuite,1,444.0
10-000576,"General Purpose Inductor, 0.015uH, 5%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,1,441.3192
10-002848,"Standoff, Threaded, Male-Male, M4, 8mm, Nylon",onhand,CM: Sienna GA,1,440.0
10-000856,CRYSTAL 16.3840MHZ 18PF SMD,onorder,Lunar Netsuite,1,438.0
10-000583,"General Purpose Inductor, 0.033uH, 5%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,437.1
10-002470,FLASH - NAND (MLC) Memory IC 8Gb (512M x 16) eMMC 153-LFBGA (11.5x13),onhand,Lunar Netsuite,1,433.4
10-002849,"Nut, Captive Washer, M4, Steel",onhand,CM: Sienna GA,1,428.4448
10-000608,FUSE 3.0A 63VAC/DC SLOW 1206,onhand,CM: Sienna GA,1,426.916
10-000556,CAP CER 0.47UF 6.3V X7R 0402 AEC-Q,onhand,CM: Qualitel WA,1,421.8875
10-005100,PTC RESET FUSE 400V 12MA 1210,onhand,CM: Sienna GA,1,419.166
10-000575,"General Purpose Inductor, 0.0047uH, 2.128%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,415.223
10-000577,"General Purpose Inductor, 0.0056uH, 2%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,413.7804
10-000578,"General Purpose Inductor, 0.0062uH, 2%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,413.5439
10-004477,RES SMD 845K OHM 0.1% 1/4W 1206,onhand,Lunar Netsuite,1,410.125
10-002983,RES 150K OHM 1% 1/4W 1206,onorder,Lunar Netsuite,1,408.0
10-002160,CAP FILM 1UF 10% 305VAC RADIAL,onhand,Lunar Netsuite,1,404.67
10-003565,"Screw,M3x0.5 6g x10mm,BHT T8,Flange,Steel,Zinc,Nylon Patch",onhand,CM: Sienna GA,1,393.44
10-002728,CAP CER 0.016UF 50V X7R 0603,onorder,Lunar Netsuite,1,372.0
30-07555B,LFP DVT SPIN-2 DC-DC BMS PCBA,onhand,Lunar Netsuite,1,366.67
10-003683,RES 500 OHM 0.1% 1/10W 0603,onhand,Lunar Netsuite,1,360.0
10-002117,"Screw,Captive,M5x0.8 6gx14mm,5mm Thread,SHCS,Flanged,DP,Steel,ZiNi BC",onhand,CM: Sienna GA,1,359.632
10-003689,"Screw, SEMS, M3x0.5x8, Belleville Conical Washer",onhand,CM: Sienna GA,1,353.247
10-000664,CAP CER 4.7UF 6.3V X5R 0402,onorder,Lunar Netsuite,1,348.6
10-000664,CAP CER 4.7UF 6.3V X5R 0402,onhand,Lunar Netsuite,1,348.0
10-06548A,"Label, Compliance, Class 9 with UN3480",onhand,CM: Qualitel WA,1,340.42272
10-000576,"General Purpose Inductor, 0.015uH, 5%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,318.6942
10-000576,"General Purpose Inductor, 0.015uH, 5%, 1 Element, SMD AEC-Q",onhand,Lunar Netsuite,1,313.92
10-08350A,"Assy, Enclosure Press-Brake, L2.1",onhand,Lunar Netsuite,1,313.38
10-002325,CAP CER 0.1UF 630V X7T 1210 AUTO,onhand,Lunar Netsuite,1,313.0
20-005925,PCB TRM AFCI Amplifier Board,onhand,CM: Sienna GA,1,306.0
10-000583,"General Purpose Inductor, 0.033uH, 5%, 1 Element, SMD AEC-Q",onhand,Lunar Netsuite,1,298.5
10-001267,"Enclosure, Top, Maximizer",onhand,CM: Sienna GA,2,293.67
10-000565,CAP CER 3.3PF 50V C0G/NPO 0402 AEC-Q,onhand,CM: Sienna GA,2,284.7354
10-002261,22 µF ±10% 25V Ceramic Capacitor X5R 1210 (3225 Metric),onorder,Lunar Netsuite,1,280.0
10-001073,DIODE GEN PURP 200V 1A SMA,onhand,Lunar Netsuite,1,278.9442
10-005510,"Filter Module, Common Mode Choke, Inverter Wire Compartment",onhand,Lunar Netsuite,1,272.6
10-001695,CAP CER 6800PF 50V X7R 0603,onhand,Lunar Netsuite,1,268.8
10-000580,"General Purpose Inductor, 0.018uH, 5%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,267.424
10-000581,"General Purpose Inductor, 0.003uH, 6.667%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,1,265.7924
10-000574,"General Purpose Inductor, 0.0033uH, 6.061%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,1,265.2999
10-000582,"General Purpose Inductor, 0.0013uH, 15.385%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,1,264.8862
10-07683A,RES SMD 845K OHM 0.1% 1/4W 1206,onhand,CM: Qualitel WA,1,264.4992
10-000573,"General Purpose Inductor, 0.0068uH, 3%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,261.345
10-000563,"Ceramic Capacitor, Multilayer, Ceramic, 35V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.15uF, SMT AEC-Q,",onhand,CM: Qualitel WA,1,259.5346
10-002382,RES SMD 2.2 OHM 5% 1/10W 0402,onorder,Lunar Netsuite,1,256.1
10-06647C,"PCBA DCDC/BMS, with Conformal Coating",onorder,Lunar Netsuite,1,248.16
10-003381,IC BUFFER NON-INVERT 5.5V USV AEC-Q,onhand,Lunar Netsuite,1,247.775
10-07833A,"Assy, Panel, End Cap, DCDC",onhand,Lunar Netsuite,1,247.7199
10-004857,TVS DIODE 58VWM 67VC 2DFN,onhand,Lunar Netsuite,1,244.6224
10-002381,RES 2 OHM 5% 1/16W 0402,onhand,Lunar Netsuite,2,238.0
10-000577,"General Purpose Inductor, 0.0056uH, 2%, 1 Element, SMD AEC-Q",onhand,CM: Sienna GA,1,231.5964
10-08445A,RES 390K OHM 1% 1/2W 1206,onorder,Lunar Netsuite,2,230.276
10-005888,"Wall Bracket Assembly, Battery Block",onhand,Lunar Netsuite,1,225.0
10-000579,"General Purpose Inductor, 10uH, 20%, 1 Element, Ferrite-Core, SMD, 0805 AEC-Q",onhand,CM: Sienna GA,2,222.0295
10-001748,RES 100K OHM 1% 1/2W 1210,onorder,Lunar Netsuite,1,220.5
10-001355,MOSFET N CH 30V 3.5A 2-3Z1A,onhand,Lunar Netsuite,1,209.0
10-001535,CAP CER 0.1UF 25V X7R 0603,onhand,Lunar Netsuite,1,207.6
20-005927,PCB TRM AFCI Connector Board,onhand,CM: Sienna GA,1,202.4
10-000573,"General Purpose Inductor, 0.0068uH, 3%, 1 Element, SMD AEC-Q",onorder,Lunar Netsuite,1,197.0
10-001138,RES 1K OHM 1% 1/4W 0603 AEC-Q,onorder,Lunar Netsuite,1,195.29999999999998
10-000580,"General Purpose Inductor, 0.018uH, 5%, 1 Element, SMD AEC-Q",onorder,Lunar Netsuite,1,195.20000000000002
10-000574,"General Purpose Inductor, 0.0033uH, 6.061%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,191.878
10-000581,"General Purpose Inductor, 0.003uH, 6.667%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,191.681
10-000582,"General Purpose Inductor, 0.0013uH, 15.385%, 1 Element, SMD AEC-Q",onhand,CM: Qualitel WA,1,189.12
10-000582,"General Purpose Inductor, 0.0013uH, 15.385%, 1 Element, SMD AEC-Q",onhand,Lunar Netsuite,1,189.12
10-002220,"PCBA Module, Bridge",onhand,Lunar Netsuite,2,188.18
10-000613,CAP CER 1UF 25V X5R 0402,onorder,Lunar Netsuite,1,180.0
10-002733,PMEG100T10ELR-QX AEC-Q,onhand,CM: Sienna GA,1,179.177
10-000563,"Ceramic Capacitor, Multilayer, Ceramic, 35V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.15uF, SMT AEC-Q,",onorder,Lunar Netsuite,1,177.0
20-005550,"Maximizer PCB, Type C",onhand,CM: Sienna GA,4,175.68
10-005434,"Assy, Inner Cover, Bridge, W/ Labels, Lunar Blue",onhand,Lunar Netsuite,1,167.65
10-004305,"Seal, Cover, DC-DC",onhand,Lunar Netsuite,1,167.5
10-004675,"Inductor Assy, DCDC, 22.8uH",onhand,Lunar Netsuite,1,166.9815
10-000557,CAP CER 100PF 50V CH 0402,onorder,Lunar Netsuite,1,162.0
10-004732,"Wire Harness, Inverter, Battery IF, Cap Board",onhand,CM: Sienna GA,1,159.52
10-003928,"Harness, Trunk, 20 kWh, Type B",onhand,Lunar Netsuite,2,142.5
10-002261,22 µF ±10% 25V Ceramic Capacitor X5R 1210 (3225 Metric),onhand,Lunar Netsuite,1,140.0
10-000568,CAP CER 5.6PF 50V C0G/NP0 0402 AEC-Q,onhand,CM: Sienna GA,1,139.0688
10-001134,RES SMD 169K OHM 1% 1/10W 0603 AEC-Q,onorder,Lunar Netsuite,1,132.0
10-06528A,"Lithium Ion Cell,S004a,Trimmed,HU",onhand,CM: Celestica MX,1,130.94
10-003839,"SEMS Screw, M3x0.5x5,ConicalLockingWasher,BHT,Cl8.8,Zn",onhand,CM: Sienna GA,1,128.7
10-07962A,Ultra-Low-Profile Socket Head Screw M5 x 12,onhand,Lunar Netsuite,1,128.1
10-005518,"Mounting Plate, Filter Module",onhand,CM: Sienna GA,1,127.3
10-005164,"Wire Harness,Inverter Exterior,Blowers/Ambient T, D",onhand,CM: Sienna GA,1,126.12
20-005737,PCB Inverter - Power Board Type B,onhand,CM: Sienna GA,1,123.52
10-005121,"Wall Bracket Assembly, Inverter",onhand,CM: Sienna GA,1,123.0
10-004164,RES 49.9 OHM 1% 1/16W 0402 AEC-Q,onhand,Lunar Netsuite,1,121.5974
10-006147,RES 0.0025 OHM .25 W 1% 0402 SMD,onhand,CM: Sienna GA,1,121.104
10-002694,FIXED IND 6.8UH 710MA 443MOHM SM,onhand,CM: Sienna GA,1,120.912
10-003809,"N/G Bar Sock, Right Side, Bridge",onhand,CM: Sienna GA,1,119.83
10-000556,CAP CER 0.47UF 6.3V X7R 0402 AEC-Q,onorder,Lunar Netsuite,1,110.39999999999999
10-000571,CAP CER 1.8PF 50V C0G/NP0 0402 AEC-Q,onhand,CM: Sienna GA,2,106.664
10-08101A,"Lunar 3 Front Cover Weldment, DVT1",onhand,Lunar Netsuite,1,105.4298
10-003808,"N/G Bar Sock, Left Side, Bridge",onhand,CM: Sienna GA,1,103.04
10-000579,"General Purpose Inductor, 10uH, 20%, 1 Element, Ferrite-Core, SMD, 0805 AEC-Q",onhand,CM: Qualitel WA,1,100.302
10-06647D,"PCBA DCDC/BMS, with Conformal Coat, LFP DC ESS",onorder,Lunar Netsuite,1,100.0
10-003381,IC BUFFER NON-INVERT 5.5V USV AEC-Q,onorder,Lunar Netsuite,1,92.10000000000001
10-000761,CAP CER 2.2UF 16V X5R 0603,onhand,Lunar Netsuite,1,92.0
10-004677,"Potted Pin Passthrough and Inductor Housing, Inverter Power Module C3",onhand,CM: Sienna GA,1,91.25
10-002758,RESHV ST 1206 10M 5% 0.25W TCR20,onhand,Lunar Netsuite,1,89.5
10-000566,CAP CER 2.7PF ±0.25PF 50V C0G 0402 AEC-Q,onhand,CM: Qualitel WA,1,88.1015
10-002381,RES 2 OHM 5% 1/16W 0402,onorder,Lunar Netsuite,1,85.5
10-000567,CAP CER 3.9PF 50V C0G/NPO 0402 AEC-Q,onhand,CM: Qualitel WA,1,82.1419
10-002156,RES SMD 18K OHM 5% 1/3W 0603,onhand,Lunar Netsuite,1,82.0
10-000567,CAP CER 3.9PF 50V C0G/NPO 0402 AEC-Q,onhand,CM: Sienna GA,1,80.1961
10-001695,CAP CER 6800PF 50V X7R 0603,onorder,Lunar Netsuite,1,78.4
10-06527A,"Lithium Ion Cell,S004a,Untrimmed,HU",onhand,CM: Celestica MX,2,77.36
10-07527A,CAP FILM 5UF 10% 800VDC RADIAL,onhand,CM: Qualitel WA,1,76.82
10-07994A,"Weld Stud, M4 x 8mm",onorder,Lunar Netsuite,1,74.52
10-001172,RES SMD 390 OHM 5% 1/4W 0603,onhand,Lunar Netsuite,1,74.0
10-000565,CAP CER 3.3PF 50V C0G/NPO 0402 AEC-Q,onhand,CM: Qualitel WA,1,73.134
10-000579,"General Purpose Inductor, 10uH, 20%, 1 Element, Ferrite-Core, SMD, 0805 AEC-Q",onorder,Lunar Netsuite,2,73.0
10-002913,FUSE BOARD MOUNT 2A 250VAC 2SMD,onhand,Lunar Netsuite,1,68.82
10-005022,Res Thick Film 0603 22K Ohm 5% 0.1W(1/10W) ±100ppm/°C Pad SMD T/R,onhand,CM: Sienna GA,2,65.7764
10-000570,CAP CER 1.5PF ± 0.25pF 50V C0K/CK 0402 AEC-Q,onhand,CM: Sienna GA,1,63.9844
10-000566,CAP CER 2.7PF ±0.25PF 50V C0G 0402 AEC-Q,onhand,CM: Sienna GA,1,63.3372
10-001764,RES SMD 20 OHM 1% 3/4W 1206,onhand,Lunar Netsuite,1,59.44
10-001679,RES SMD 120 OHM 5% 1/8W 0805,onhand,Lunar Netsuite,1,58.0
10-000568,CAP CER 5.6PF 50V C0G/NP0 0402 AEC-Q,onhand,CM: Qualitel WA,1,54.999
10-003381,IC BUFFER NON-INVERT 5.5V USV AEC-Q,onhand,CM: Sienna GA,1,53.6943
10-000557,CAP CER 100PF 50V CH 0402,onhand,CM: Sienna GA,1,42.4278
10-000571,CAP CER 1.8PF 50V C0G/NP0 0402 AEC-Q,onhand,CM: Qualitel WA,1,40.1396
10-002698,DIODE ZENER 5.1V 1W PMDTM AEC-Q,onhand,CM: Sienna GA,1,34.4288
10-002869,CAP CER 22UF 20% 25V X7R 1210,onhand,CM: Sienna GA,1,31.58
10-005421,"Cable Tie, REUSABLE",onhand,CM: Sienna GA,1,31.46
20-005341,PCB Lunar Bridge Rogowski Coil Pigtail Board Rev 1,onhand,CM: Sienna GA,1,28.8
10-005102,IC GATE DRVR HALF-BRIDGE 12DSBGA,onhand,CM: Sienna GA,1,26.55
10-003684,RES 750 OHM 1% 1/8W 0603,onhand,Lunar Netsuite,1,26.5
10-002709,"Heat spreader, Aluminum Nitride, TIM and pre-applied",onhand,CM: Sienna GA,1,24.6
10-000570,CAP CER 1.5PF ± 0.25pF 50V C0K/CK 0402 AEC-Q,onhand,CM: Qualitel WA,1,23.9584
10-002330,RES 28K OHM 1% 1/10W 0603,onhand,Lunar Netsuite,1,21.0
10-003064,RES SMD 93.1K OHM 1% 1/10W 0603,onhand,Lunar Netsuite,1,19.11
10-002903,RES 24K OHM 1% 1/10W 0603 AEC-Q,onhand,Lunar Netsuite,1,17.883
10-005250,Fuse Chip Slow Blow Acting 0.5A 250V SMD Solder Pad 10.1 X 3.12 X 3.12mm Ceramic T/R cULus,onhand,CM: Sienna GA,1,15.49
10-003729,RES 0 OHM JUMPER 1/4W 1206 AEC-Q,onhand,CM: Sienna GA,1,15.345
10-000995,RES 18K OHM 1% 1/16W 0402 AEC-Q,onorder,Lunar Netsuite,1,15.0
10-003064,RES SMD 93.1K OHM 1% 1/10W 0603,onhand,CM: Sienna GA,1,14.9682
10-005042,Res Thick Film 0603 340 Ohm 1% 0.1W(1/10W) ±100ppm/°C Pad SMD T/R,onhand,CM: Sienna GA,1,13.263
10-002266,CAP CER 0.1UF 50V X7R 0603,onhand,Lunar Netsuite,1,12.92
10-002470,FLASH - NAND (MLC) Memory IC 8Gb (512M x 16) eMMC 153-LFBGA (11.5x13),onhand,CM: Sienna GA,1,11.82
10-004787,Cap Ceramic 0.1uF 16V X7R 10% Pad SMD 0402 125°C T/R,onhand,CM: Sienna GA,1,10.6612
20-005508,"PCB, Inverter Wire Compartment Filter Module",onhand,CM: Sienna GA,1,10.08
10-004472,RES 100 mOHM 1% 1/5W 0603,onhand,Lunar Netsuite,1,8.957
10-003685,RES 240 OHM 1% 1/10W 0603,onhand,Lunar Netsuite,1,8.5
10-005008,Inductor Power Shielded Wirewound 1000uH 20% 100KHz Ferrite 0.72A 1.4Ohm DCR T/R,onhand,CM: Sienna GA,1,8.28
10-003957,RES SMD 93.1K OHM 1% 1/10W 0603,onhand,CM: Sienna GA,1,7.8225
10-004301,DIODE ZENER 62V 5W DO214AA,onhand,CM: Sienna GA,1,6.018
10-001545,RES 499 OHM 1% 1/10W 0603 AEC-Q,onhand,CM: Sienna GA,1,5.474
10-002501,"10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200",onhand,CM: Qualitel WA,1,5.0
10-002884,IC REG CHARG PUMP INV 12MSOP,onhand,CM: Sienna GA,1,2.5
10-001142,RES 1 OHM 1% 1/10W 0603 AEC-Q,onhand,CM: Sienna GA,1,1.46
60-06855B,Battery Block Emulator -16 cell LPF_1 Production PCBA,onorder,Lunar Netsuite,1,1.20756
10-005537,"Ferrule, 7 AWG, 18mm Pin",onhand,CM: Sienna GA,1,0.54
90-0028023MS-R,,onhand,CM: Celestica MX,1,0.02
10-003358,CAP FILM 0.22UF 10% 1KVDC RADIAL,onhand,CM: Sienna GA,1,0.0
10-003544,"Full Functional Assy, Bridge, Nebulous White",onhand,CM: Sienna GA,1,0.0
10-000565,CAP CER 3.3PF 50V C0G/NPO 0402,onorder,CM: Sienna GA,1,0.0
10-003484,"PCB TERMINAL BLOCK, NOMINAL CURR",onhand,CM: Sienna GA,1,0.0
10-003368,"Thermal Bridge, GaN, DCDC",onhand,CM: Qualitel WA,1,0.0
10-003517,"Lid with Insulator, Foam Pad",onhand,CM: Celestica MX,1,0.0
10-003533,TVS DIODE 58.1VWM 121VC SMC,onhand,CM: Celestica MX,1,0.0
10-003561,"Nut,M5,5mm,Flange,Serrated,ZnNi BC",onhand,CM: Celestica MX,1,0.0
10-002862,DGTL ISO 2500VRMS 2CH GP 8SOIC,onhand,CM: Sienna GA,1,0.0
10-000586,860 to 930 MHz High-Power RF Front-End M,onorder,CM: Sienna GA,3,0.0
10-002941,DC DC CONVERTER 12V 3W,onhand,CM: Celestica MX,1,0.0
10-002941,DC DC CONVERTER 12V 3W,onhand,CM: Sienna GA,1,0.0
10-002983,RES 150K OHM 1% 1/4W 1206,onhand,CM: Sienna GA,1,0.0
10-003005,"Adhesive, Double-sided, Heat Sink, Maximizer",onhand,CM: Sienna GA,1,0.0
10-006604,CONN CONTACT IDC 12AWG SMD,onhand,Lunar Netsuite,1,0.0
10-002862,DGTL ISO 2500VRMS 2CH GP 8SOIC,onhand,CM: Celestica MX,1,0.0
10-001056,CAP ALUM 470UF 20% 25V RADIAL,onhand,CM: Sienna GA,1,0.0
10-07240A,"Screw, M5-0.8X12, Pan HD, T25, Sealing, STL+ZnNi",onorder,CM: Qualitel WA,8,0.0
10-001208,IC BAT LIFEPO4/LI-ION 3-16C TQFP,onhand,CM: Celestica MX,1,0.0
10-07607A,"Mount, Neutral/Ground Bar, Bridge",onorder,CM: Sienna GA,4,0.0
10-07683A,RES SMD 845K OHM 0.1% 1/4W 1206,onorder,CM: Sienna GA,3,0.0
10-07793A,"10-07793A Wire Harness, Inverter Exterio",onorder,CM: Sienna GA,1,0.0
10-07817A,"10-07817A Wire Harness, Inverter Exterio",onorder,CM: Sienna GA,1,0.0
10-001138,RES 1K OHM 1% 1/4W 0603 AEC-Q,onhand,CM: Celestica MX,1,0.0
10-000944,"Exhaust Duct,Inverter",onhand,CM: Sienna GA,1,0.0
10-002080,"Wire Harness,Inverter,Antenna (900Mhz/BT",onorder,CM: Sienna GA,9,0.0
10-08110A,"Wire Harness, Inverter Ext, Blow/Amb.T,S",onorder,CM: Sienna GA,7,0.0
10-000799,"Sticker,Vent,Subassembly",onhand,CM: Celestica MX,1,0.0
10-000587,S2-LP is a 900 MHz RF radio,onhand,Lunar Netsuite,1,0.0
10-000537,Can with Terminals,onhand,CM: Celestica MX,1,0.0
10-000533,Terminals with Fuse and Bracket,onhand,CM: Celestica MX,1,0.0
10-000398,Busbar Tray with Interconnects,onhand,CM: Celestica MX,1,0.0
10-000170,Submodule,onhand,CM: Celestica MX,1,0.0
10-001212,12-Channel Multicell Battery Monitor AEC-Q,onhand,CM: Celestica MX,1,0.0
10-001267,"Enclosure, Top, Maximizer",onhand,Lunar Netsuite,1,0.0
10-001355,MOSFET N CH 30V 3.5A 2-3Z1A,onhand,CM: Celestica MX,1,0.0
10-001403,CONN TERM PIN SOLDER 3.6MM,onhand,CM: Celestica MX,1,0.0
10-002591,DIODE ZENER 5.23V 960MW DO219AC,onhand,CM: Sienna GA,2,0.0
10-002426,"Fan with Connector,DC-DC, with Splice",onhand,CM: Celestica MX,1,0.0
10-002420,"Screw,M2x0.4 6gx4mm,Flat Head T-6,Steel,ZiNi BC,Nylon Patch",onhand,CM: Sienna GA,1,0.0
10-002294,FLASH - NOR Memory IC 16Mb (2M x 8) SPI - Quad I/O 133 MHz 8-SOIC,onhand,CM: Sienna GA,2,0.0
10-002281,CAP CER 10UF 25V X7R 1206 AEC-Q,onhand,CM: Celestica MX,1,0.0
10-002271,Linear Voltage Regulator IC Positive Fixed 1 Output 1.5A D2PAK,onhand,CM: Sienna GA,1,0.0
10-002249,"Wire Harness, Earth Ground Sense, Bridge",onhand,CM: Sienna GA,2,0.0
10-002172,"Full Functional Assy, Bridge, Lunar Blue",onhand,Lunar Netsuite,1,0.0
10-002141,CONN HEADER SMD R/A 2POS 3MM,onhand,CM: Sienna GA,1,0.0
10-001818,"Inductor Caddy,Triple",onhand,CM: Sienna GA,1,0.0
10-004643,"Adhesive, Double-sided, Heat Sink, Maxim",onorder,CM: Sienna GA,3,0.0
10-001637,CAP CER 4.7UF 100V X7R 2220,onhand,CM: Sienna GA,1,0.0
10-001508,"Insulator,Busbar,Battery Block",onhand,CM: Celestica MX,1,0.0
10-001468,"Harness,Ground,Frame",onhand,CM: Celestica MX,1,0.0
10-001420,CONN SMA JACK STR 50OHM PCB,onhand,Lunar Netsuite,1,0.0
10-002020,"Pouch,Water Filled,Half Submodule",onhand,CM: Celestica MX,1,0.0
10-004310,"Cover with Seal, DC-DC",onhand,CM: Celestica MX,1,0.0
S-747,,onhand,CM: Qualitel WA,1,0.0
10-005113,"Shroud with Inserts, Rear",onhand,Lunar Netsuite,1,0.0
10-07681A,IC DRAM 4GBIT POD 78FBGA,onhand,Lunar Netsuite,1,0.0
10-005113,"Shroud with Inserts, Rear",onhand,CM: Celestica MX,1,0.0
10-07683A,RES SMD 845K OHM 0.1% 1/4W 1206,onhand,CM: Sienna GA,3,0.0
10-07720A,"Hinge Door Mount, Front Door, Inverter, Gen 2",onhand,Lunar Netsuite,1,0.0
10-07769A,"Heatsink, AC Safe Harbor, 11kW Inverter",onhand,Lunar Netsuite,1,0.0
10-07770A,"Heatsink, PV Safe Harbor, 11kW Inverter",onhand,Lunar Netsuite,1,0.0
10-07770B,"Heatsink, PV Safe Harbor, 11kW Inverter",onhand,Lunar Netsuite,1,0.0
10-07793A,"Wire Harness, Inverter Exterior, Blowers/Ambient T, SS 540-22",onhand,CM: Sienna GA,1,0.0
10-07817A,"Wire Harness, Inverter Exterior, Blowers/Ambient T, D TP48",onhand,CM: Sienna GA,1,0.0
10-005112,"Shroud with Inserts, Front",onhand,Lunar Netsuite,1,0.0
10-07839A,CAP 2.2UF ±10% 10% 305VAC 630VDC AEC-Q200 X2 RADIAL 42.00mm x 12.00mm,onhand,CM: Sienna GA,2,0.0
10-07939A,"Terminal Cover, L2.1",onhand,Lunar Netsuite,1,0.0
10-08349A,"ASSY, HARNESS, TRUNK, 30 kWh,TYPE C INVERTER TO LFP 2.1",onhand,Lunar Netsuite,1,0.0
10-005112,"Shroud with Inserts, Front",onhand,CM: Celestica MX,1,0.0
10-08453A,"Hinge Base, Enclosure, Inverter Gen 2, Press Brake",onhand,Lunar Netsuite,1,0.0
20-000737,"PCB DCDC/BMS, Battery Block",onhand,Lunar Netsuite,1,0.0
20-003034,"PCB, Capacitor Board",onhand,Lunar Netsuite,1,0.0
10-005025,"Inverter, D",onhand,Lunar Netsuite,3,0.0
20-005200,"Maximizer PCB, Type B",onhand,CM: Sienna GA,1,0.0
20-005339,"PCB DCDC/BMS, Battery Block",onhand,CM: Celestica MX,1,0.0
20-005377,PCB LEM CSTR RCD Adapter Board,onhand,Lunar Netsuite,1,0.0
10-07527A,CAP FILM 5UF 10% 800VDC RADIAL,onhand,CM: Sienna GA,2,0.0
10-005118,"Maximizer, Potted Assembly, Type A",onhand,Lunar Netsuite,1,0.0
20-005508,"PCB, Inverter Wire Compartment Filter Module",onhand,Lunar Netsuite,1,0.0
10-07188A,"Lifting Tool Assy, LFP Battery Block",onhand,Lunar Netsuite,1,0.0
10-006076,"PCBA, Terminal Board, Type B, Coated",onhand,Lunar Netsuite,1,0.0
10-005891,"Cover with Seal, Busbar, Type B",onhand,CM: Celestica MX,1,0.0
10-006732,IC SIGMA-DELTA 16BIT 40K 24TSSOP,onhand,Lunar Netsuite,1,0.0
10-006836,IC USB 2.0 HUB AND FLASH MEDIA CARD CONTROLLER COMBO 48-QFN (7x7),onhand,Lunar Netsuite,1,0.0
10-005366,"Scarf with Adhesive, Battery Block",onhand,CM: Celestica MX,1,0.0
10-005296,Inverter Power Board Type A PCBA with DC Input Pins Attached,onhand,Lunar Netsuite,1,0.0
10-005286,"O-ring,291.69mm ID,3.53mm C/S",onhand,CM: Qualitel WA,1,0.0
10-06532A,"Battery Block,HU",onhand,Lunar Netsuite,2,0.0
10-005271,"Harness, Sense, Battery Block, Type B",onhand,CM: Celestica MX,1,0.0
10-06647A,"PCBA DCDC/BMS, with Conformal Coating",onhand,Lunar Netsuite,1,0.0
10-06738B,"Asy, Harness, Trunk, 15 kWh, Type B",onhand,Lunar Netsuite,1,0.0
10-06824A,"Packaging, Assy, ESS Hardware Kit 15kWh Lunar Blue",onhand,CM: Sienna GA,1,0.0
10-00522D,"Maximizer, Potted Assembly, Type D",onhand,CM: Sienna GA,5,0.0
10-06949A,LFP DC ESS,onhand,Lunar Netsuite,1,0.0
10-005220,"Maximizer, Potted Assembly, Type C",onhand,CM: Sienna GA,2,0.0
10-005211,"Heat Sink Assy, DCDC",onhand,CM: Celestica MX,1,0.0
10-06954A,"Label, Compliance, Maximizer",onhand,CM: Sienna GA,3,0.0
