"serial_number","shipped_date","shipment_number","ship_to","packing_slip_number","po_number","po_line_number","customer_part_number","pallet_id","quantity","lot_code","master_carton_id","source_file","source_file_timestamp","_db_created_at","_db_modified_at"
P:10-00522DR:01S:SIE260201659,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512713,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260201813,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512713,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260201961,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512713,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260202184,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512709,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260202213,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512713,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260202305,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512717,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260202448,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512716,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260202521,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512709,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260202585,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512710,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260202630,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512710,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
P:10-00522DR:01S:SIE260202746,2026-08-06 17:00:00,SFOHOUT 00052757,,93248521,PO-US-08015,,10-00522D,202608077,1,,P:90-06831DR:02S:SIE262512709,PO-US-018014 shipped 080726 ASN 93248493 Qty 8 PO-US-09054 A93248518 Q9 PO-US-08885 A93248519 Q225 PO-US-08932 A93248520 Q75 PO-US-08015 A93248521 Q200 PO-US-09166 A93248523 Q1920.xlsx,2026-08-07 18:16:17,2026-08-07 18:16:23,2026-08-07 18:16:23
