LPN,Description,GSM,Supplier,Arena UoM,Order Category,MOQ (#ESS)/EAU,Quoted EAU,MULT (Reel Size), Unit Price (@MOQ/EAU) ,MPN,MFG,Quote Date
20-000541,"PCB, Home Controller 3-Up Panel",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 13.090 ,,,LUE20230411101-U7--20-000541 Rev 8(Home Controller)(FR408HR)(FCA HK).pdf
20-000544,"PCBA, LED",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 0.420 ,,,LUE20220215101-U3--20-000544-04 Rev 04 -LED Board-10-31-22（IT180A）(FCA).pdf
20-002996,"PCB, PV Hub",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 1.820 ,,,
20-005054,"PCB, Capacitor Board Type A",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 7.990 ,,,
20-005340,PCB Lunar Bridge CAN Pigtail Board Rev 1,Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7020,, $ 0.240 ,,,LUE20230901102-U4--20-005340 Rev 1--Bridge CAN Pigtail Board (FCA HK).pdf
20-005369,"PCB, RF Passthrough Type A",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 1.370 ,,,LUE20230919101-U6--20-005369 rev 1--RF Passthrough (FCA HK).pdf
20-005485,"PCB, Bridge Interface Board, Type B",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 4.720 ,,,LUE20230808104-U8--20-005485-1_BRIDGE INTERFACE TYPE B (FCA HK).pdf
20-005748,"PCB,Bridge Control Board, Type B",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 4.750 ,,,2025/09/15
20-005783,"PCB, Bridge Rogowski Coil Pigtail Type B",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7020,, $ 0.330 ,,,LUE20241025101-U4-PN 20-005783 Rev 01 (FCA HK).pdf
20-05001C,"PCB, Terminal Board, Type C",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 46.880 ,,,
20-05003C,"PCB, Power Board, Type C",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,10000,, $ 62.300 ,,,
20-06545A,PCB EMC Filter Type B,Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 16.600 ,,,LUE20240823101--20-06545A Rev 1(Inverter EMC Filter Type B)(FCA HK)-U3 (1).pdf
20-06830D,"Maximizer PCB, Type D",Nhi Nguyen,Sunshine PCB,Each,PCB,7000,7000,, $ 2.110 ,,,
10-06929B,"Heat Sink Assy, DCDC",Tejas Dixit,MyHeatSinks,Each,,4000,-,-, $ 35.600 ,,,2026/02/13
10-002402,N-Channel 200 V 32A (Ta) Surface Mount Die,#N/A,#N/A,,,,,,,,,
20-06905A,DC-DC BMS 1.5 PCB,Nhi Nguyen,Sunshine,Each,PCB,7000,7000,, $ 22.010 ,,,2025/09/04
10-004521,"Fan with Connector,DC-DC, with Splice",Hazel Gomes,Lunar Energy / Delta,,,4320,,, $ 7.340 ,QFR0912EJ-00HWY,,2025/08/08
10-006205,IND 22.8μH±10％ Within (Typ.22.78μH) -40℃ to +125℃ 65.6 x 61.3 x 31.6mm,#N/A,#N/A,,,,,,,,,
10-004134,"Cover, DC-DC",Tejas Dixit,MyHeatSinks,Each,,12000,-,-, $ 12.300 ,,,2026/02/13
10-002361,"Heat Spreader, GaN, DCDC",Tejas Dixit,MyHeatSinks,Each,,12000,-,-, $ 5.150 ,,,2026/02/13
10-006146,"Bushing, Lunar custom",Hazel Gomes,Unisteel Technology Limited,Each,,7000,,, $ 0.372 ,,,2025/09/17
10-002929,"TIM, INDUCTOR, DCDC",Hazel Gomes,Singleton,Each,ME Non critical,7000,,, $ 1.027 ,,,2025/08/28
10-06930B,"TIM, PCBA, DCDC",Hazel Gomes,Singleton,Each,ME Non critical,7000,,, $ 3.070 ,,,2025/07/21
10-06752A,"Thermal Bridge, GaN, DCDC",Hazel Gomes,Singleton,Each,ME Non critical,7000,,, $ 0.040 ,,,2025/08/28
10-002218,"Nut, M6, Hex Head, Steel, Zn-Ni Plated",Rita Lin,Acetech,,,10000,,, $ 0.03 ,,,2025/10/27
10-06936A,"Fan Shroud with Inserts, DCDC, LFP ESS, Front",Steve Lee,Acetech,,,10000,,, $ 1.180 ,,,2025/10/27
10-001645,MCMASTER 99512A216 Pencom SW8323,Hazel Gomes,Pencom,,,7000,,, $ 0.058 ,,,2025/09/03
10-004305,"Seal, Cover, DC-DC",Hazel Gomes,Marian Inc,Each,ME Non critical,5000,,, $ 0.440 ,,,2025/08/07
10-002816,"Screw,M5 x 13,SEMS and Washer,BHT T-25,Steel,ZiNi BC,Nylon Patch",Hazel Gomes,Pencom,,,7000,,, $ 0.099 ,,,2025/09/03
10-000603,LED RED CLEAR 2SMD,#N/A,#N/A,,,,,,,,,
10-003055,"Threadlocking Adhesive, Low Strength",MRO,KRAYDEN INC,,,,,,,,,
10-003497,"Screw,M2x0.4 6gX4mm,Flat Head,PH1, Reny Philip (Cross-Recess): Type H Size 1",Hazel Gomes,Pencom,,,7000,,, $ 0.139 ,,,2025/09/03
10-003754,UV Curable Polyurethane Conformal Coating,N/A - MRO,Consumables (Not Lunar managed),,,,,,,,,
10-003913,"Nut,M5,Clinch,SS,Passivated",#N/A,#N/A,,,1000,,,,,,
10-004191,"Thermal gap filler, Non-Curing, 6 W/mK, Dispensed (eg. Laird T-Putty)",Hazel Gomes,LAIRD TECHNOLOGIES,,,360000,,, $ 0.528 ,,,2025/08/15
10-004340,"Screw,M4X34mm,SEMS and spring washer, BHT,T-15,ZiNi BC",Hazel Gomes,Pencom,,,7000,,, $ 0.131 ,,,2025/09/03
10-004341,"Screw,M3X6.5mm,SEMS and spring washer, BHT,T-8,ZiNi BC",Hazel Gomes,Pencom,,,7000,,, $ 0.080 ,,,2025/09/03
10-004422,"Label, 7x7mm QR",0,Consumables (Not Lunar managed),,,,,,,,,
10-004422,"Label, 7x7mm QR",0,Consumables (Not Lunar managed),,,,,,,,,
10-004509,ESS Battery Aesthetic Cover Front,Steve Gelphman,JPOND,,,7000,,, $ 28.450 ,,,2025/09/17
10-004512,Battery Aesthetic Cover Left Asy Suede,Steve Gelphman,JPOND,,,7000,,, $ 20.320 ,,,2025/09/17
10-004513,Battery Aesthetic Cover Right Asy Suede,Steve Gelphman,JPOND,,,7000,,, $ 20.670 ,,,2025/09/17
10-005081,"Shield, Trunk Harness Connector, Battery Block",Tejas Dixit,MyHeatSinks,Each,,12000,-,-, $ 2.120 ,,,2026/02/13
10-005227,"Snorkel with Seal,Battery Block",Steve Gelphman,Axtonne,,,7000,,, $ 4.390 ,,,2025/09/18
10-005254,"Hinge, Shield, Trunk Harness Connector",Hazel Gomes,Pencom,,,7000,,, $ 0.153 ,,,2025/09/03
10-06548A,"Label, Compliance, Class 9 with UN3480",MRO,Label,,,,,,,,,
10-06944A,"Lid w/ Seal, Enclosure, LFP DC ESS",#N/A,#N/A,,,,,,,,,
10-06755A,"Wall Bracket Asy, Battery Block, Type 2",Steve Gelphman,JPOND,,,7000,,, $ 15.490 ,,,2025/11/14
10-06938A,"Fan Shroud with Inserts, DCDC, LFP ESS, Fan Mtg, Front",Steve Lee,Acetech,,,10000,,, $ 1.180 ,,,2025/10/27
10-06945A,"Busbar Nest Assy, LFP DC ESS",Rita Lin,Acetech,,,10000,,, $ 9.55 ,,,2025/10/27
10-06951A,"Screw, M4x0.7, 10mm L, Steel, ZiNi, Nylon Patch",#N/A,#N/A,,,,,,,,,
10-07005A,"Packaging, LFP DC ESS module with Cover and Wall Bracket",Hazel Gomes,Veritiv Operating Company,,,2500,,, $ 44.730 ,,,2025/09/10
10-06534A,"Chassis Base, MSA Controller",Steve Gelphman,Ripple,,,3000,3000,, $ 4.518 ,,,2025/08/07
10-06535A,"PCBA Cover, MSA Controller",Steve Gelphman,Ripple,,,3000,3000,, $ 1.898 ,,,2025/08/07
10-06536A,"Wiring Cover, MSA Controller",Steve Gelphman,Ripple,,,3000,3000,, $ 2.706 ,,,2025/08/07
10-06915A,"Plug, Conduit, Sealing, Stepped, 1/2""",N/A - MRO,#N/A,,,,,,,,,
20-06570B,60-06569B Lunar MSA Controller PCB Fabrication Data,Nhi Nguyen,Sunshine,,,3000,3000,, $ 2.760 ,,,LUA20250617101--20-06570B--MSA Controller(FCA HK)-U3.pdf
10-000603,LED RED CLEAR 2SMD,,,,,,,,,,,
10-000607,Green 570nm LED Indication - Discrete 2.1V 0402 (1005 Metric),,,,,,,,,,,
10-000625,"16 MHz ±20ppm Crystal 12pF 70 Ohms 4-SMD, No Lead 0.126"" L x 0.098"" W (3.20mm x 2.50mm)",,,,,,,,,,,
10-002501,Res Thick Film 0402 10K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R,,,,,,,,,,,
10-003982,1 µF ±10% 25V Ceramic Capacitor X5R 0402 (1005 Metric),,,,,,,,,,,
10-07170A,"Harness protector ring, 64x24x12, PA66, UL94",Rita Lin,Kang Yang,,,10000,,, $ 0.32 ,,,Kang Yang International Lunar Energy  9_17_25 for PN 10-07170A
10-004666, PV Disconnect Switch 0.1 mA at 3.3 VDC ,Hazel Gomes,Merz,,,2500,,, $ 11.54 ,,,2025/09/22
10-06644A,"Rogowski Coil, Magnelab",Hazel Gomes,Magnelab,,,4800,,, $ 30.00 ,,,2025/08/21
10-07240A,"SCREW, M5-0.8X12, PAN HD, T25, SEALING, STL+ZNNI",Hazel Gomes,Unisteel Technology Limited,Each,,18000,,, $ 0.12 ,,,2025/09/03
10-07241A,"SCREW, M8-1.25X10, PAN HD, T40, SEALING, STL+ZNNI",Hazel Gomes,Unisteel Technology Limited,Each,,7000,,, $ 0.57 ,,,2025/09/03
10-07029A,Label Compliance MSA Controller,Hazel Gomes,STEPHEN GOULD,,,5000,,, $ 0.34 ,,,2025/09/02
10-06946A,"Terminal Cover Assy, DCDC to Enclosure, LFP DC ESS",Rita Lin,Acetech,,,300,,, $ 7.34 ,,,2025/09/09
10-06946B,"Terminal Cover Assy, DCDC to Enclosure, LFP DC ESS",Rita Lin,Acetech,,,20000,,, $ 5.70 ,,,2025/10/27
10-06950A,"Cell Array Assy, LFP DC ESS",Rita Lin,Acetech,,,4095,,, $ 398.45 ,,,2025/11/20
10-06951A,"Screw, M4x0.7, 10mm L, Steel, ZiNi, Nylon Patch (Enclosure lid)",Rita Lin,Acetech,,,300,,, $ 0.06 ,,,2025/09/09
10-06969A,"Module Fixing Plate, 1.2 mm thk, 4X mtg slot at 84 mm spacing, 60 deg flange",Rita Lin,Acetech,,,20000,,, $ 0.27 ,,,2025/10/27
10-06970A,"Vent Valve, IP67, M12x1.5",Rita Lin,Acetech,,,10000,,, $ 2.09 ,,,2025/10/27
10-06997B,Foam Seal,Rita Lin,Acetech,,,300,,, $ 2.68 ,,,2025/09/09
10-07166A,"Shoulder Screw, M5x8, 6mm shoulder, 12 mm OD, A2-70 SS",Rita Lin,Acetech,,,300,,, $ 0.27 ,,,2025/10/27
10-07166A,"Shoulder Screw, M5x8, 6mm shoulder, 12 mm OD, A2-70 SS",Rita Lin,Acetech,,,300,,, $ 0.32 ,,,2025/09/09
10-07167A,"Clinch Nut, M12",Rita Lin,Acetech,,,300,,, $ 0.56 ,,,2025/09/09
10-06943B,"Assy, Enclosure, LFP DC ESS",Steve Gelphman,Sytech,,,10000,,, $ 159.51 ,,,2025/08/15
10-07170A,"Harness protector ring, 64x24x12, PA66, UL94",Rita Lin,Acetech,,,300,,, $ 1.21 ,,,2025/09/09
10-002061,"Fir Tree,Cable Tie,1-Piece,1.0 - 35.0 mm",,,,,,,,,,,
10-07078A,"Label, Compliance, LFP DC ESS",Hazel Gomes,Stephen Gould,,,5000,,, $ 0.31 ,,,2025/10/01
 10-006088 ," Inverter Packaging, Foam, Bottom, Left, V2 ",Hazel Gomes,Veritiv Operating Company,,,7000,,, $ 27.18 ,,,2025/08/05
 10-06572A ," Signal Harness, MSA Controller ",Hazel Gomes,Yuqiu,,,160,,, $ 16.80 ,,,2025/10/23
10-07180A,"Label, Compliance, LFP AC ESS , 20KWh",,,,,,,, $ 0.31 ,,,
10-07356A,"Seal, Cover, DC-DC",Ruairi Barnes,Global O-Ring,,,,,, $ 6.47 ,,,
90-07679A,Battery Aesthetic Covers,Steve Gelphman,JPOND,Each,ME Non critical,8000,,, $ 69.57 ,,,2026/04/08
10-07678A,"Packaging Kit, LFP BatteryBlock and Wall Bracket",Steve Gelphman,Veritiv Operating Company,Each,ME Non critical,8000,,, $ 11.79 ,,,2026/04/30
