LPN,Description,GSM,Supplier,Arena UoM,Order Category,MOQ (#ESS)/EAU,Quoted EAU,MULT (Reel Size), Unit Price (@MOQ/EAU) ,MPN,MFG,Quote Date
10-004444,"Screw, M5x13, BHT, Flanged, DP, T25 (Ins",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.105 ,,,2026/02/19
10-004446,"Screw,Captive,M5x0.8 6gx14mm,5mm Thread,",Hazel Gomes,Pencom,Each,ME Non critical,7000,-,-, $ 0.220 ,,,2026/02/19
10-004545,ESS Top Cover LRG Asy,Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 39.010 ,,,2025/09/17
10-004546,"Label, Serial Number, Inverter",[Label - Sienna Printed],In-house,Each,ME Non critical,-,-,-, $ 0.050 ,,,Sienna Managed
10-004552,"Inverter Aes Cover SubAssy,Left,No Harne",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 26.340 ,,,2025/09/17
10-004553,"Inverter Aesthetic Cover Sub Assy, Right",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 87.250 ,,,2025/09/17
10-004601,"Label, Branch Circuits, Inner Panel, Left, Bridge",Hazel Gomes,Boyd Corporation,Each,ME Non critical,10000,-,-, $ 0.454 ,,,2025/08/02
10-004611,"Safety Cover, Terminal Lug, Bridge",Hazel Gomes,Fictiv,Each,ME critical,,-,-, $ 1.210 ,,,2025/09/15
10-004639,"Heat Sink, Maximizer",Tejas Dixit,MyHeatSinks,Each,ME critical,3000,-,-, $ 2.530 ,,,2026/01/14
10-004643,"Adhesive, Double-sided, Heat Sink, Maxim",Hazel Gomes,Boyd Grand Rapids,Each,ME Non critical,7000,-,-, $ 0.140 ,,,2025/08/02
10-004719,"Wire Harness, Power, DC Contactors",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 9.200 ,,,2025/10/01
10-004729,"Wire Harness, Inverter, PV Switch",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 3.660 ,,,2025/10/01
10-004730,"Wire Harness, Coil & Aux, DC Contactors",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 37.720 ,,,2025/10/01
10-004734,"Wire Harness,Inverter,Nano-fit",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 6.130 ,,,2025/10/01
10-004805,"RTV Silicone Sealant, RV 5818",[MRO Part],R. S. HUGHES COMPANY,Milliliter,ME Non critical,-,-,-, $ 0.120 ,,,Sienna Managed
10-004806,"Wire Harness, Inverter, Filtered AC Jump",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 13.600 ,,,2025/10/01
10-004809,"Wire Harness,Inverter,Home Controller",Tejas Dixit,Avalon,Each,ME critical,,-,-, $ 6.580 ,,,2025/10/01
10-004819,"EMI Gasket, 2.3mm x 2.3mm, D-Profile",[MRO Part],WURTH ELECTRONICS MIDCOM,Millimeter,ME Non critical,,-,-, $ 3.740 ,,,Sienna Managed
10-004822,"O-Strip Tubing, 2.9mm OD x 1.6mm hollow",Hazel Gomes,TTI,Each,ME Non critical,3000,-,-, $ 3.250 ,,,2025/08/15
10-004824,"O-Strip Tubing, 2.9mm OD x 1.6mm hollow",Hazel Gomes,TTI,Each,ME Non critical,3000,-,-, $ 3.450 ,,,2025/08/15
10-004825,"O-Strip Tubing, 2.9mm OD x 1.6mm hollow",Hazel Gomes,TTI,Each,ME Non critical,3000,-,-, $ 2.990 ,,,2025/08/15
10-004934,"Structure, Mounting, PCBA, PV Hub",Hazel Gomes,Fictiv,Each,ME critical,,-,-, $ 0.680 ,,,2025/09/15
10-004970,"Label, Branch Circuits, Inner Panel, Right, Bridge",Hazel Gomes,Boyd Corporation,Each,ME Non critical,10000,-,-, $ 0.454 ,,,2025/08/02
10-004984,"SCREW, PLASTIC-THREADING, M4, STEEL",Hazel Gomes,Unisteel Technology Limited,Each,ME Non critical,7000,-,-, $ 0.033 ,,,2025/09/17
10-004992,"Enclosure, Plastic, Wiring Compartment,",Hazel Gomes,Fictiv,Each,ME critical,,-,-, $ 29.990 ,,,2025/09/15
10-004995,"Ground Sheet, Wiring Compartment, Invert",Steve Gelphman,Metcam,Each,ME Non critical,7000,-,-, $ 5.830 ,,,
10-005026,"ESS Cover, Conduit Cover and Bug Barrier",Steve Gelphman,JPOND,Each,ME critical,7000,-,-, $ 19.700 ,,,2025/09/17
10-005027,"Filter Board Base, Die Cast, Inverter, D",Tejas Dixit,MyHeatSinks,Each,ME critical,3000,-,-, $ 27.300 ,,,2026/01/14
10-005037,"Enclosure, Power Module, Inverter, D",Tejas Dixit,MyHeatSinks,Each,ME critical,3000,-,-, $ 32.500 ,,,2026/01/14
10-005080,"Breaker Hold-Down, Bridge",Steve Gelphman,Axtonne,Each,ME critical,,-,-, $ 1.150 ,,,2025/09/18
