Updated at,source_report,raw_part_number,lpn,description,item_category,procurementtype,location,storage_location,is_consigned,owned_by,unrestricted_qty,restricted_qty,unit_price,unrestricted_value,restricted_value,revision_number,row_type,uncommitted_qty
09-11-2026,CM: Celestica MX,10-0000423MS,10-000042,"Lithium Ion Cell,S004a,Trimmed",Part,MTS,Monterrey Prod,1000,FALSE,Celestica,4551,0,0,0,0,0,Unrestricted,4551
09-11-2026,Lunar Netsuite,10-000054,10-000054,"Aux Bracket, Wall Bracket, Battery Block",Part,MTS,JIT - Reno,NS,FALSE,Lunar Energy,2850,0,0.53,1510.5,0,0,Unrestricted,2850
09-11-2026,CM: Celestica MX,10-0000623MS,10-000062,"Cover, Battery Block",Part,MTS,Monterrey Prod,1000,FALSE,Celestica,-2,0,4.13,-8.26,0,0,Unrestricted,-2
09-11-2026,Lunar Netsuite,10-000099,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,Avnet,NS,FALSE,Lunar Energy,8000,0,0.0256,204.8,0,0,Unrestricted,7115
09-11-2026,CM: Celestica MX,10-0000993MS,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,Monterrey Prod,1000,FALSE,Celestica,-14,0,0.0313,-0.4382,0,0,Unrestricted,-14
09-11-2026,CM: Sienna GA,10-000099 REV-02,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,559572,0,0.017,9512.724,0,2,Unrestricted,559572
09-11-2026,CM: Qualitel WA,814L-10-000099,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,62650,0,0.017,1065.05,0,0,Unrestricted,62650
09-11-2026,CM: Sienna GA,10-000099 REV-02,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,334067,0,0.017,5679.139,0,2,Unrestricted,334067
09-11-2026,Lunar Netsuite,10-000099,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,295115,0,0.02,5902.3,0,0,Unrestricted,84000
09-11-2026,CM: Sienna GA,10-000099 REV-02,10-000099,CAP CER 1UF 35V X7R 0603,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,496000,0,0.017,8432,0,2,Unrestricted,496000
09-11-2026,Lunar Netsuite,10-000124,10-000124,RES 250 UOHM 1% 4W 2725 AEC-Q,Electrical Components,OTS,Avnet,NS,FALSE,Lunar Energy,1000,0,0.4237,423.7,0,0,Unrestricted,1000
09-11-2026,CM: Sienna GA,10-000124 REV-02,10-000124,RES 250 UOHM 1% 4W 2725 AEC-Q,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,4000,0,0.4237,1694.8,0,2,Unrestricted,4000
09-11-2026,CM: Celestica MX,10-0001243MS,10-000124,RES 250 UOHM 1% 4W 2725 AEC-Q,Electrical Components,OTS,Monterrey Prod,1000,FALSE,Celestica,-2,0,0.4237,-0.8474,0,0,Unrestricted,-2
09-11-2026,CM: Sienna GA,10-000124 REV-02,10-000124,RES 250 UOHM 1% 4W 2725 AEC-Q,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,1169,0,0.4237,495.3053,0,2,Unrestricted,1169
09-11-2026,CM: Qualitel WA,814L-10-000124,10-000124,RES 250 UOHM 1% 4W 2725 AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,11718,0,0.3625,4247.775,0,0,Unrestricted,11718
09-11-2026,Lunar Netsuite,10-000124,10-000124,RES 250 UOHM 1% 4W 2725 AEC-Q,Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,11750,0,0.4237,4978.475,0,0,Unrestricted,11750
09-11-2026,CM: Celestica MX,10-0001703MS,10-000170,Submodule,Part,MTS,Monterrey Prod,1000,FALSE,Celestica,-6,0,46.62,-279.72,0,0,Unrestricted,-6
09-11-2026,Lunar Netsuite,10-000224,10-000224,Vertical Header,Electrical Components,OTS,CCL (Computer Components Ltd),NS,FALSE,Lunar Energy,4746,0,0.964,4575.144,0,0,Unrestricted,4746
09-11-2026,CM: Qualitel WA,814L-10-000253,10-000253,CAP CER 0.1UF 50V X7R 0402 AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,452425,0,0.0027,1221.5475,0,0,Unrestricted,452425
09-11-2026,CM: Sienna GA,10-000253 REV-02,10-000253,CAP CER 0.1UF 50V X7R 0402 AEC-Q,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,561242,0,0.0124,6959.4008,0,2,Unrestricted,561242
09-11-2026,Lunar Netsuite,10-000253,10-000253,CAP CER 0.1UF 50V X7R 0402 AEC-Q,Electrical Components,OTS,Sienna Corporation - GA,NS,FALSE,Lunar Energy,40000,0,0.0173,692,0,0,Unrestricted,0
09-11-2026,CM: Sienna GA,10-000253 REV-02,10-000253,CAP CER 0.1UF 50V X7R 0402 AEC-Q,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,136223,0,0.0124,1689.1652,0,2,Unrestricted,136223
09-11-2026,CM: Celestica MX,10-0002533MS,10-000253,CAP CER 0.1UF 50V X7R 0402 AEC-Q,Electrical Components,OTS,Monterrey Prod,1000,FALSE,Celestica,-22,0,0.0124,-0.2728,0,0,Unrestricted,-22
09-11-2026,CM: Sienna GA,10-000253 REV-02,10-000253,CAP CER 0.1UF 50V X7R 0402 AEC-Q,Electrical Components,OTS,ATLN,PAMS,FALSE,Sienna Corporation,800000,0,0.0124,9920,0,2,Unrestricted,800000
09-11-2026,CM: Sienna GA,C10-000253 REV-02,10-000253,CAP CER 0.1UF 50V X7R 0402 AEC-Q,Electrical Components,OTS,ATLN,WS34,TRUE,Lunar Energy,40000,0,0,0,0,2,Unrestricted,40000
09-11-2026,CM: Sienna GA,10-000340 REV-01,10-000340,"Crystal Parallel - Fundamental Quartz Crystal, 25MHz Nom AEC-Q",Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,7056,0,0.189,1333.584,0,1,Unrestricted,7056
09-11-2026,CM: Sienna GA,10-000340 REV-01,10-000340,"Crystal Parallel - Fundamental Quartz Crystal, 25MHz Nom AEC-Q",Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,12000,0,0.189,2268,0,1,Unrestricted,12000
09-11-2026,CM: Qualitel WA,814L-10-000340,10-000340,"Crystal Parallel - Fundamental Quartz Crystal, 25MHz Nom AEC-Q",Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,6503,0,0.172,1118.516,0,0,Unrestricted,6503
09-11-2026,Lunar Netsuite,10-000340,10-000340,"Crystal Parallel - Fundamental Quartz Crystal, 25MHz Nom AEC-Q",Electrical Components,OTS,JIT - Reno,NS,FALSE,Lunar Energy,1000,0,0.289,289,0,0,Unrestricted,1000
09-11-2026,CM: Qualitel WA,814L-10-000342,10-000342,RES 0805 5% 1 OHM 1/2W AEC-Q,Electrical Components,OTS,"Seattle, WA",Stock,FALSE,Qualitel,20006,0,0.0222,444.1332,0,0,Unrestricted,20006
09-11-2026,CM: Sienna GA,10-000342 REV-01,10-000342,RES 0805 5% 1 OHM 1/2W AEC-Q,Electrical Components,OTS,ATLN,MAIN,FALSE,Sienna Corporation,25000,0,0.0354,885,0,1,Unrestricted,25000
09-11-2026,CM: Sienna GA,10-000342 REV-01,10-000342,RES 0805 5% 1 OHM 1/2W AEC-Q,Electrical Components,OTS,ATLN,LINE,FALSE,Sienna Corporation,3291,0,0.0354,116.5014,0,1,Unrestricted,3291
09-11-2026,CM: Sienna GA,10-000342 REV-01,10-000342,RES 0805 5% 1 OHM 1/2W AEC-Q,Electrical Components,OTS,ATLN,RIQC,FALSE,Sienna Corporation,10000,0,0.0354,354,0,1,Unrestricted,10000
